,DEL,INS,OK,SUB,page_num
0,11.0,19.0,65.0,72.0,28.0
1,11.0,36.0,88.0,108.0,29.0
2,47.0,66.0,78.0,143.0,30.0
3,20.0,35.0,79.0,118.0,31.0
4,11.0,42.0,62.0,142.0,32.0
5,17.0,28.0,102.0,117.0,33.0
6,16.0,27.0,82.0,90.0,34.0
7,12.0,41.0,58.0,92.0,35.0
8,26.0,50.0,97.0,107.0,36.0
9,20.0,39.0,87.0,128.0,37.0
10,11.0,44.0,89.0,90.0,38.0
11,10.0,29.0,68.0,76.0,39.0
12,11.0,36.0,95.0,95.0,40.0
13,18.0,34.0,91.0,120.0,41.0
14,24.0,47.0,57.0,99.0,42.0
15,32.0,49.0,107.0,110.0,43.0
16,17.0,44.0,73.0,97.0,44.0
17,14.0,54.0,84.0,127.0,45.0
18,20.0,31.0,79.0,96.0,46.0
19,22.0,52.0,69.0,109.0,47.0
20,4.0,9.0,22.0,29.0,48.0
21,16.0,41.0,90.0,88.0,49.0
22,23.0,40.0,59.0,110.0,50.0
23,25.0,59.0,54.0,108.0,51.0
24,11.0,41.0,101.0,94.0,52.0
25,18.0,44.0,103.0,134.0,53.0
26,8.0,34.0,81.0,112.0,54.0
27,15.0,34.0,102.0,111.0,55.0
28,37.0,41.0,108.0,120.0,56.0
29,16.0,45.0,85.0,106.0,57.0
30,18.0,28.0,48.0,60.0,58.0
31,18.0,35.0,88.0,122.0,59.0
32,21.0,48.0,49.0,97.0,60.0
33,20.0,40.0,69.0,115.0,61.0
34,33.0,53.0,107.0,121.0,62.0
35,24.0,48.0,89.0,133.0,63.0
36,20.0,47.0,76.0,144.0,64.0
37,21.0,38.0,72.0,113.0,65.0
38,32.0,34.0,99.0,134.0,66.0
39,16.0,51.0,68.0,114.0,67.0
40,20.0,46.0,52.0,117.0,68.0
41,20.0,42.0,72.0,128.0,69.0
42,18.0,32.0,54.0,98.0,70.0
43,28.0,53.0,79.0,98.0,71.0
44,8.0,58.0,82.0,126.0,72.0
45,28.0,42.0,66.0,113.0,73.0
46,25.0,32.0,78.0,111.0,74.0
47,16.0,37.0,65.0,107.0,75.0
48,20.0,59.0,67.0,117.0,76.0
49,17.0,27.0,100.0,111.0,77.0
50,20.0,29.0,86.0,112.0,78.0
51,36.0,25.0,53.0,106.0,79.0
52,22.0,36.0,79.0,99.0,80.0
53,31.0,61.0,68.0,126.0,81.0
54,11.0,34.0,77.0,86.0,82.0
