,DEL,INS,OK,SUB,page_num
0,6.0,14.0,75.0,67.0,28.0
1,8.0,21.0,106.0,93.0,29.0
2,39.0,57.0,98.0,131.0,30.0
3,11.0,18.0,100.0,106.0,31.0
4,8.0,35.0,92.0,115.0,32.0
5,6.0,23.0,124.0,106.0,33.0
6,7.0,17.0,98.0,83.0,34.0
7,5.0,27.0,78.0,79.0,35.0
8,20.0,40.0,106.0,104.0,36.0
9,10.0,45.0,105.0,120.0,37.0
10,11.0,24.0,99.0,80.0,38.0
11,7.0,27.0,85.0,62.0,39.0
12,7.0,21.0,114.0,80.0,40.0
13,12.0,30.0,111.0,106.0,41.0
14,10.0,31.0,82.0,88.0,42.0
15,27.0,31.0,125.0,97.0,43.0
16,11.0,21.0,91.0,85.0,44.0
17,8.0,29.0,105.0,112.0,45.0
18,8.0,16.0,106.0,81.0,46.0
19,13.0,39.0,83.0,104.0,47.0
20,2.0,9.0,28.0,25.0,48.0
21,17.0,24.0,105.0,72.0,49.0
22,17.0,18.0,86.0,89.0,50.0
23,15.0,43.0,79.0,93.0,51.0
24,8.0,16.0,117.0,81.0,52.0
25,9.0,33.0,124.0,122.0,53.0
26,9.0,21.0,100.0,92.0,54.0
27,10.0,28.0,121.0,97.0,55.0
28,30.0,39.0,135.0,100.0,56.0
29,10.0,31.0,102.0,95.0,57.0
30,12.0,15.0,53.0,61.0,58.0
31,8.0,20.0,104.0,116.0,59.0
32,15.0,36.0,66.0,86.0,60.0
33,13.0,24.0,90.0,101.0,61.0
34,28.0,32.0,118.0,115.0,62.0
35,19.0,28.0,112.0,115.0,63.0
36,14.0,39.0,100.0,126.0,64.0
37,11.0,34.0,83.0,112.0,65.0
38,15.0,23.0,132.0,118.0,66.0
39,12.0,16.0,100.0,86.0,67.0
40,15.0,32.0,75.0,99.0,68.0
41,8.0,38.0,96.0,116.0,69.0
42,6.0,26.0,69.0,95.0,70.0
43,31.0,50.0,86.0,88.0,71.0
44,10.0,36.0,92.0,114.0,72.0
45,21.0,26.0,86.0,100.0,73.0
46,19.0,23.0,99.0,96.0,74.0
47,10.0,21.0,83.0,95.0,75.0
48,9.0,28.0,83.0,112.0,76.0
49,8.0,24.0,115.0,105.0,77.0
50,13.0,25.0,100.0,105.0,78.0
51,22.0,28.0,68.0,105.0,79.0
52,14.0,17.0,100.0,86.0,80.0
53,25.0,44.0,83.0,117.0,81.0
54,15.0,31.0,78.0,81.0,82.0
