,DEL,INS,OK,SUB,page_num
0,5.0,32.0,86.0,65.0,7.0
1,34.0,60.0,107.0,115.0,8.0
2,11.0,41.0,126.0,76.0,9.0
3,2.0,21.0,46.0,25.0,10.0
4,0.0,2.0,,1.0,11.0
5,21.0,71.0,68.0,63.0,12.0
6,19.0,63.0,99.0,68.0,13.0
7,12.0,57.0,131.0,73.0,14.0
8,12.0,62.0,139.0,80.0,15.0
9,15.0,62.0,127.0,74.0,16.0
10,20.0,63.0,94.0,64.0,17.0
11,5.0,24.0,24.0,18.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,24.0,62.0,142.0,56.0,20.0
14,33.0,87.0,103.0,62.0,21.0
15,24.0,68.0,79.0,72.0,22.0
16,20.0,69.0,105.0,74.0,23.0
17,16.0,59.0,120.0,73.0,24.0
18,6.0,68.0,146.0,91.0,25.0
19,14.0,51.0,122.0,52.0,26.0
20,13.0,53.0,143.0,89.0,27.0
21,23.0,56.0,69.0,66.0,28.0
22,10.0,57.0,133.0,79.0,29.0
23,15.0,49.0,144.0,56.0,30.0
24,8.0,53.0,171.0,77.0,31.0
25,22.0,78.0,108.0,71.0,32.0
26,22.0,61.0,123.0,74.0,33.0
27,9.0,62.0,145.0,85.0,34.0
28,3.0,49.0,175.0,76.0,35.0
29,8.0,44.0,181.0,68.0,36.0
30,8.0,54.0,179.0,83.0,37.0
31,9.0,61.0,138.0,79.0,38.0
32,17.0,67.0,125.0,68.0,39.0
33,7.0,30.0,82.0,39.0,40.0
34,18.0,58.0,141.0,63.0,42.0
35,25.0,73.0,138.0,79.0,43.0
36,34.0,81.0,116.0,80.0,44.0
37,25.0,46.0,156.0,77.0,45.0
38,20.0,72.0,122.0,68.0,46.0
39,18.0,67.0,163.0,64.0,47.0
40,19.0,47.0,69.0,25.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,13.0,41.0,138.0,75.0,50.0
43,25.0,70.0,133.0,79.0,51.0
44,20.0,72.0,142.0,80.0,52.0
45,15.0,64.0,133.0,83.0,53.0
46,32.0,72.0,126.0,69.0,54.0
47,24.0,62.0,149.0,74.0,55.0
48,6.0,49.0,135.0,81.0,56.0
49,12.0,62.0,146.0,88.0,57.0
50,17.0,55.0,146.0,72.0,58.0
51,31.0,65.0,127.0,93.0,59.0
52,15.0,53.0,141.0,82.0,60.0
53,23.0,65.0,119.0,88.0,61.0
54,20.0,56.0,95.0,65.0,62.0
55,2.0,0.0,,1.0,63.0
56,22.0,73.0,116.0,94.0,64.0
57,14.0,47.0,146.0,89.0,65.0
58,6.0,58.0,166.0,99.0,66.0
59,26.0,81.0,139.0,90.0,67.0
60,11.0,62.0,168.0,100.0,68.0
61,22.0,53.0,146.0,80.0,69.0
62,20.0,83.0,103.0,88.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,11.0,63.0,95.0,72.0,72.0
65,22.0,63.0,145.0,67.0,73.0
66,40.0,94.0,108.0,71.0,74.0
67,5.0,49.0,120.0,94.0,75.0
68,14.0,59.0,94.0,73.0,76.0
69,0.0,0.0,,1.0,77.0
70,5.0,42.0,130.0,99.0,78.0
71,7.0,63.0,151.0,91.0,79.0
72,16.0,55.0,147.0,96.0,80.0
73,4.0,42.0,149.0,92.0,81.0
74,10.0,26.0,190.0,51.0,82.0
75,9.0,23.0,172.0,61.0,83.0
76,9.0,20.0,183.0,51.0,84.0
77,21.0,23.0,164.0,58.0,85.0
78,4.0,9.0,216.0,55.0,86.0
79,9.0,25.0,180.0,73.0,87.0
80,26.0,31.0,146.0,72.0,88.0
81,6.0,10.0,190.0,66.0,89.0
82,23.0,28.0,141.0,65.0,90.0
83,2.0,0.0,1.0,0.0,91.0
84,14.0,19.0,153.0,35.0,92.0
85,14.0,18.0,165.0,57.0,93.0
86,9.0,15.0,182.0,50.0,94.0
