,DEL,INS,OK,SUB,page_num
0,6.0,21.0,91.0,59.0,7.0
1,30.0,31.0,130.0,96.0,8.0
2,9.0,36.0,132.0,72.0,9.0
3,1.0,15.0,56.0,16.0,10.0
4,0.0,1.0,,1.0,11.0
5,20.0,53.0,85.0,47.0,12.0
6,24.0,50.0,105.0,57.0,13.0
7,12.0,46.0,146.0,58.0,14.0
8,9.0,46.0,153.0,69.0,15.0
9,13.0,52.0,150.0,53.0,16.0
10,22.0,53.0,106.0,50.0,17.0
11,4.0,25.0,28.0,15.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,23.0,50.0,152.0,47.0,20.0
14,34.0,71.0,116.0,48.0,21.0
15,21.0,65.0,92.0,62.0,22.0
16,19.0,55.0,124.0,56.0,23.0
17,14.0,49.0,136.0,59.0,24.0
18,8.0,43.0,173.0,62.0,25.0
19,14.0,44.0,131.0,43.0,26.0
20,13.0,40.0,157.0,75.0,27.0
21,22.0,56.0,78.0,58.0,28.0
22,12.0,43.0,153.0,57.0,29.0
23,15.0,36.0,155.0,45.0,30.0
24,6.0,36.0,179.0,71.0,31.0
25,20.0,67.0,122.0,59.0,32.0
26,20.0,58.0,146.0,53.0,33.0
27,8.0,52.0,171.0,60.0,34.0
28,3.0,33.0,196.0,55.0,35.0
29,6.0,26.0,200.0,51.0,36.0
30,9.0,38.0,192.0,69.0,37.0
31,9.0,53.0,148.0,69.0,38.0
32,18.0,51.0,135.0,57.0,39.0
33,4.0,23.0,92.0,32.0,40.0
34,14.0,44.0,152.0,56.0,42.0
35,30.0,64.0,157.0,55.0,43.0
36,37.0,67.0,132.0,61.0,44.0
37,22.0,38.0,177.0,59.0,45.0
38,25.0,71.0,130.0,55.0,46.0
39,17.0,51.0,177.0,51.0,47.0
40,19.0,34.0,73.0,21.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,9.0,34.0,146.0,71.0,50.0
43,25.0,59.0,154.0,58.0,51.0
44,19.0,44.0,156.0,67.0,52.0
45,17.0,44.0,155.0,59.0,53.0
46,33.0,57.0,135.0,59.0,54.0
47,21.0,54.0,167.0,59.0,55.0
48,3.0,33.0,151.0,68.0,56.0
49,6.0,39.0,165.0,75.0,57.0
50,18.0,52.0,160.0,57.0,58.0
51,29.0,55.0,154.0,68.0,59.0
52,6.0,36.0,157.0,75.0,60.0
53,24.0,61.0,147.0,59.0,61.0
54,17.0,43.0,101.0,62.0,62.0
55,2.0,1.0,,1.0,63.0
56,19.0,50.0,142.0,71.0,64.0
57,16.0,29.0,165.0,68.0,65.0
58,3.0,24.0,205.0,63.0,66.0
59,28.0,59.0,165.0,62.0,67.0
60,4.0,41.0,206.0,69.0,68.0
61,17.0,45.0,167.0,64.0,69.0
62,22.0,69.0,113.0,76.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,9.0,47.0,115.0,54.0,72.0
65,24.0,59.0,160.0,50.0,73.0
66,42.0,84.0,120.0,57.0,74.0
67,4.0,44.0,158.0,57.0,75.0
68,14.0,40.0,114.0,53.0,76.0
69,0.0,1.0,,1.0,77.0
70,6.0,19.0,160.0,68.0,78.0
71,4.0,22.0,181.0,64.0,79.0
72,11.0,33.0,174.0,74.0,80.0
73,3.0,24.0,159.0,83.0,81.0
74,7.0,11.0,190.0,54.0,82.0
75,12.0,13.0,176.0,54.0,83.0
76,8.0,14.0,183.0,52.0,84.0
77,19.0,16.0,169.0,55.0,85.0
78,9.0,6.0,214.0,52.0,86.0
79,10.0,14.0,178.0,74.0,87.0
80,26.0,25.0,148.0,70.0,88.0
81,9.0,7.0,191.0,62.0,89.0
82,23.0,22.0,145.0,61.0,90.0
83,2.0,0.0,1.0,0.0,91.0
84,11.0,15.0,154.0,37.0,92.0
85,15.0,18.0,169.0,52.0,93.0
86,9.0,9.0,192.0,40.0,94.0
87,29.0,34.0,133.0,51.0,95.0
88,30.0,27.0,139.0,64.0,96.0
89,16.0,15.0,145.0,40.0,97.0
90,12.0,13.0,216.0,42.0,98.0
91,2.0,5.0,234.0,44.0,99.0
92,32.0,27.0,175.0,44.0,100.0
93,32.0,35.0,175.0,53.0,101.0
94,9.0,19.0,194.0,60.0,102.0
95,4.0,4.0,188.0,39.0,103.0
96,4.0,4.0,179.0,58.0,104.0
97,10.0,13.0,183.0,42.0,105.0
98,30.0,32.0,147.0,32.0,106.0
99,7.0,11.0,223.0,42.0,107.0
100,5.0,9.0,217.0,58.0,108.0
101,7.0,8.0,138.0,28.0,109.0
102,2.0,0.0,,1.0,111.0
103,16.0,21.0,116.0,50.0,112.0
104,31.0,25.0,143.0,63.0,113.0
105,30.0,31.0,127.0,58.0,114.0
106,27.0,44.0,152.0,53.0,115.0
107,24.0,23.0,186.0,47.0,116.0
108,43.0,48.0,119.0,61.0,117.0
109,30.0,33.0,95.0,39.0,118.0
110,3.0,1.0,,2.0,119.0
111,13.0,20.0,155.0,46.0,120.0
112,31.0,30.0,144.0,56.0,121.0
113,34.0,40.0,117.0,55.0,122.0
114,15.0,17.0,135.0,57.0,123.0
115,13.0,17.0,157.0,65.0,124.0
116,11.0,15.0,135.0,43.0,125.0
117,3.0,1.0,,2.0,127.0
118,4.0,9.0,180.0,41.0,128.0
119,16.0,19.0,176.0,43.0,129.0
120,20.0,20.0,151.0,52.0,130.0
121,24.0,24.0,162.0,40.0,131.0
122,8.0,10.0,184.0,36.0,132.0
123,36.0,34.0,85.0,46.0,133.0
124,2.0,1.0,,4.0,135.0
125,19.0,21.0,160.0,39.0,136.0
126,16.0,15.0,164.0,54.0,137.0
127,19.0,21.0,117.0,55.0,138.0
128,10.0,10.0,181.0,54.0,139.0
129,22.0,30.0,160.0,62.0,140.0
130,22.0,18.0,185.0,50.0,141.0
131,10.0,19.0,164.0,59.0,142.0
132,6.0,6.0,197.0,48.0,143.0
133,15.0,16.0,182.0,55.0,144.0
134,25.0,30.0,115.0,57.0,145.0
135,24.0,23.0,150.0,57.0,146.0
136,20.0,17.0,158.0,60.0,147.0
137,13.0,13.0,103.0,31.0,148.0
138,2.0,0.0,,2.0,149.0
139,2.0,7.0,175.0,67.0,150.0
140,24.0,28.0,144.0,78.0,151.0
141,14.0,17.0,161.0,64.0,152.0
142,5.0,13.0,193.0,58.0,153.0
143,11.0,14.0,191.0,63.0,154.0
144,29.0,28.0,163.0,54.0,155.0
145,10.0,13.0,183.0,36.0,156.0
146,3.0,1.0,,2.0,157.0
147,16.0,20.0,143.0,60.0,158.0
148,13.0,21.0,170.0,60.0,159.0
149,15.0,21.0,196.0,54.0,160.0
150,13.0,15.0,175.0,52.0,161.0
151,8.0,33.0,147.0,41.0,162.0
152,21.0,21.0,127.0,55.0,163.0
153,5.0,11.0,70.0,19.0,164.0
154,3.0,0.0,1.0,1.0,165.0
155,11.0,18.0,130.0,39.0,166.0
156,26.0,26.0,154.0,45.0,167.0
157,25.0,31.0,161.0,65.0,168.0
158,2.0,7.0,220.0,57.0,169.0
159,11.0,17.0,198.0,62.0,170.0
160,7.0,10.0,120.0,27.0,171.0
161,3.0,0.0,1.0,1.0,173.0
162,17.0,18.0,126.0,41.0,174.0
163,20.0,21.0,114.0,47.0,175.0
164,19.0,20.0,167.0,37.0,176.0
165,17.0,22.0,101.0,33.0,177.0
166,19.0,17.0,159.0,42.0,178.0
167,0.0,250.0,2.0,3.0,179.0
168,21.0,30.0,133.0,48.0,180.0
169,15.0,26.0,174.0,38.0,181.0
170,14.0,16.0,159.0,29.0,182.0
171,10.0,15.0,122.0,33.0,183.0
172,22.0,21.0,120.0,32.0,186.0
173,12.0,13.0,217.0,43.0,187.0
174,21.0,23.0,155.0,52.0,188.0
175,20.0,20.0,149.0,34.0,189.0
176,23.0,32.0,144.0,60.0,190.0
177,11.0,14.0,162.0,53.0,191.0
178,33.0,30.0,150.0,49.0,192.0
