,DEL,INS,OK,SUB,page_num
0,5.0,28.0,100.0,51.0,7.0
1,35.0,58.0,142.0,79.0,8.0
2,11.0,45.0,150.0,52.0,9.0
3,3.0,21.0,48.0,22.0,10.0
4,0.0,2.0,,1.0,11.0
5,22.0,74.0,77.0,53.0,12.0
6,20.0,67.0,117.0,49.0,13.0
7,12.0,56.0,141.0,63.0,14.0
8,11.0,63.0,158.0,62.0,15.0
9,14.0,71.0,146.0,56.0,16.0
10,21.0,65.0,105.0,52.0,17.0
11,4.0,23.0,28.0,15.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,25.0,62.0,159.0,38.0,20.0
14,36.0,86.0,115.0,47.0,21.0
15,24.0,69.0,94.0,57.0,22.0
16,23.0,63.0,122.0,54.0,23.0
17,15.0,63.0,137.0,57.0,24.0
18,8.0,67.0,152.0,83.0,25.0
19,16.0,58.0,132.0,40.0,26.0
20,14.0,54.0,166.0,65.0,27.0
21,21.0,58.0,83.0,54.0,28.0
22,10.0,61.0,149.0,63.0,29.0
23,15.0,49.0,158.0,42.0,30.0
24,8.0,58.0,185.0,63.0,31.0
25,23.0,77.0,120.0,58.0,32.0
26,22.0,63.0,143.0,54.0,33.0
27,11.0,65.0,155.0,73.0,34.0
28,3.0,46.0,193.0,58.0,35.0
29,5.0,47.0,197.0,55.0,36.0
30,9.0,55.0,194.0,67.0,37.0
31,12.0,60.0,150.0,64.0,38.0
32,19.0,68.0,136.0,55.0,39.0
33,5.0,29.0,89.0,34.0,40.0
34,18.0,55.0,161.0,43.0,42.0
35,25.0,70.0,160.0,57.0,43.0
36,37.0,84.0,125.0,68.0,44.0
37,24.0,45.0,164.0,70.0,45.0
38,21.0,75.0,135.0,54.0,46.0
39,16.0,70.0,176.0,53.0,47.0
40,18.0,45.0,73.0,22.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,11.0,46.0,161.0,54.0,50.0
43,25.0,71.0,150.0,62.0,51.0
44,20.0,71.0,165.0,57.0,52.0
45,15.0,60.0,153.0,63.0,53.0
46,32.0,76.0,141.0,54.0,54.0
47,25.0,65.0,153.0,69.0,55.0
48,6.0,46.0,136.0,80.0,56.0
49,12.0,59.0,154.0,80.0,57.0
50,17.0,61.0,155.0,63.0,58.0
51,33.0,73.0,145.0,73.0,59.0
52,11.0,58.0,164.0,63.0,60.0
53,21.0,62.0,147.0,62.0,61.0
54,27.0,64.0,116.0,37.0,62.0
55,2.0,0.0,,1.0,63.0
56,21.0,67.0,148.0,63.0,64.0
57,14.0,50.0,171.0,64.0,65.0
58,4.0,54.0,200.0,67.0,66.0
59,26.0,78.0,164.0,65.0,67.0
60,13.0,66.0,186.0,80.0,68.0
61,19.0,54.0,167.0,62.0,69.0
62,22.0,86.0,124.0,65.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,11.0,63.0,108.0,59.0,72.0
