,DEL,INS,OK,SUB,page_num
0,6.0,18.0,107.0,43.0,7.0
1,31.0,27.0,133.0,92.0,8.0
2,8.0,31.0,128.0,77.0,9.0
3,2.0,12.0,57.0,14.0,10.0
4,0.0,2.0,1.0,0.0,11.0
5,22.0,50.0,89.0,41.0,12.0
6,20.0,48.0,103.0,63.0,13.0
7,12.0,37.0,141.0,63.0,14.0
8,14.0,31.0,146.0,71.0,15.0
9,15.0,44.0,141.0,60.0,16.0
10,27.0,41.0,98.0,53.0,17.0
11,5.0,16.0,23.0,19.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,24.0,43.0,152.0,46.0,20.0
14,37.0,67.0,110.0,51.0,21.0
15,30.0,50.0,97.0,48.0,22.0
16,21.0,38.0,119.0,59.0,23.0
17,18.0,43.0,128.0,63.0,24.0
18,6.0,35.0,177.0,60.0,25.0
19,15.0,41.0,134.0,39.0,26.0
20,15.0,36.0,150.0,80.0,27.0
21,26.0,47.0,76.0,56.0,28.0
22,12.0,37.0,152.0,58.0,29.0
23,16.0,34.0,148.0,51.0,30.0
24,10.0,34.0,187.0,59.0,31.0
25,21.0,54.0,121.0,59.0,32.0
26,22.0,45.0,134.0,63.0,33.0
27,14.0,39.0,158.0,67.0,34.0
28,2.0,29.0,197.0,55.0,35.0
29,7.0,31.0,195.0,55.0,36.0
30,9.0,30.0,197.0,64.0,37.0
31,16.0,37.0,143.0,67.0,38.0
32,20.0,46.0,138.0,52.0,39.0
33,5.0,16.0,96.0,27.0,40.0
34,17.0,32.0,149.0,56.0,42.0
35,29.0,50.0,143.0,70.0,43.0
36,45.0,64.0,135.0,50.0,44.0
37,27.0,39.0,169.0,62.0,45.0
38,29.0,49.0,129.0,52.0,46.0
39,17.0,40.0,187.0,41.0,47.0
40,20.0,32.0,75.0,18.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,10.0,31.0,153.0,63.0,50.0
43,25.0,52.0,161.0,51.0,51.0
44,21.0,45.0,160.0,61.0,52.0
45,19.0,44.0,148.0,64.0,53.0
46,38.0,62.0,144.0,45.0,54.0
47,30.0,47.0,162.0,55.0,55.0
48,7.0,23.0,168.0,47.0,56.0
49,8.0,28.0,169.0,69.0,57.0
50,21.0,46.0,161.0,53.0,58.0
51,35.0,47.0,154.0,62.0,59.0
52,9.0,32.0,155.0,74.0,60.0
53,23.0,53.0,138.0,69.0,61.0
54,18.0,38.0,110.0,52.0,62.0
55,2.0,0.0,,1.0,63.0
56,21.0,41.0,134.0,77.0,64.0
57,13.0,26.0,170.0,66.0,65.0
58,2.0,27.0,206.0,63.0,66.0
59,28.0,48.0,165.0,62.0,67.0
60,4.0,31.0,205.0,70.0,68.0
61,19.0,39.0,167.0,62.0,69.0
62,20.0,58.0,122.0,69.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,11.0,42.0,115.0,52.0,72.0
65,25.0,57.0,165.0,44.0,73.0
66,49.0,76.0,115.0,55.0,74.0
67,6.0,37.0,165.0,48.0,75.0
68,14.0,29.0,107.0,60.0,76.0
69,0.0,0.0,,1.0,77.0
70,3.0,15.0,166.0,65.0,78.0
71,9.0,20.0,187.0,53.0,79.0
72,9.0,28.0,187.0,63.0,80.0
73,4.0,21.0,170.0,71.0,81.0
74,10.0,18.0,195.0,46.0,82.0
75,11.0,19.0,176.0,55.0,83.0
76,9.0,21.0,179.0,55.0,84.0
77,23.0,28.0,168.0,52.0,85.0
78,4.0,13.0,213.0,58.0,86.0
79,11.0,25.0,173.0,78.0,87.0
80,28.0,28.0,141.0,75.0,88.0
81,9.0,14.0,183.0,70.0,89.0
82,21.0,33.0,139.0,69.0,90.0
83,2.0,0.0,1.0,0.0,91.0
84,16.0,19.0,148.0,38.0,92.0
85,19.0,20.0,158.0,59.0,93.0
86,9.0,17.0,187.0,45.0,94.0
87,32.0,38.0,126.0,55.0,95.0
88,28.0,27.0,139.0,66.0,96.0
89,16.0,19.0,137.0,48.0,97.0
90,15.0,15.0,206.0,49.0,98.0
91,8.0,9.0,222.0,50.0,99.0
92,32.0,29.0,169.0,50.0,100.0
93,40.0,37.0,159.0,61.0,101.0
94,16.0,22.0,198.0,49.0,102.0
95,7.0,10.0,183.0,41.0,103.0
96,5.0,12.0,176.0,60.0,104.0
97,12.0,23.0,179.0,44.0,105.0
98,30.0,36.0,137.0,42.0,106.0
99,11.0,17.0,212.0,49.0,107.0
100,7.0,14.0,222.0,51.0,108.0
101,8.0,9.0,136.0,29.0,109.0
102,2.0,0.0,,1.0,111.0
103,15.0,23.0,125.0,42.0,112.0
104,30.0,37.0,148.0,59.0,113.0
105,36.0,33.0,110.0,69.0,114.0
106,32.0,45.0,145.0,55.0,115.0
107,27.0,25.0,184.0,46.0,116.0
108,40.0,43.0,124.0,59.0,117.0
109,34.0,37.0,81.0,49.0,118.0
110,3.0,0.0,,2.0,119.0
111,13.0,33.0,142.0,59.0,120.0
112,26.0,29.0,148.0,57.0,121.0
113,35.0,38.0,114.0,57.0,122.0
114,17.0,22.0,141.0,49.0,123.0
115,16.0,27.0,154.0,65.0,124.0
116,16.0,23.0,129.0,44.0,125.0
117,4.0,0.0,,1.0,127.0
