,DEL,INS,OK,SUB,page_num
0,6.0,18.0,122.0,28.0,7.0
1,36.0,22.0,168.0,52.0,8.0
2,8.0,31.0,152.0,53.0,9.0
3,3.0,13.0,59.0,11.0,10.0
4,0.0,2.0,1.0,0.0,11.0
5,21.0,49.0,103.0,28.0,12.0
6,20.0,45.0,126.0,40.0,13.0
7,12.0,33.0,156.0,48.0,14.0
8,16.0,30.0,169.0,46.0,15.0
9,14.0,45.0,170.0,32.0,16.0
10,27.0,42.0,109.0,42.0,17.0
11,4.0,16.0,30.0,13.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,25.0,42.0,168.0,29.0,20.0
14,37.0,68.0,120.0,41.0,21.0
15,30.0,45.0,107.0,38.0,22.0
16,23.0,37.0,134.0,42.0,23.0
17,20.0,43.0,143.0,46.0,24.0
18,5.0,34.0,187.0,51.0,25.0
19,15.0,42.0,143.0,30.0,26.0
20,14.0,31.0,184.0,47.0,27.0
21,23.0,49.0,89.0,46.0,28.0
22,13.0,36.0,164.0,45.0,29.0
23,16.0,33.0,162.0,37.0,30.0
24,7.0,33.0,202.0,47.0,31.0
25,21.0,53.0,134.0,46.0,32.0
26,23.0,45.0,151.0,45.0,33.0
27,15.0,34.0,172.0,52.0,34.0
28,2.0,29.0,220.0,32.0,35.0
29,8.0,30.0,206.0,43.0,36.0
30,10.0,31.0,212.0,48.0,37.0
31,16.0,38.0,162.0,48.0,38.0
32,18.0,46.0,154.0,38.0,39.0
33,5.0,16.0,105.0,18.0,40.0
34,17.0,31.0,161.0,44.0,42.0
35,28.0,49.0,159.0,55.0,43.0
36,44.0,61.0,143.0,43.0,44.0
37,25.0,43.0,181.0,52.0,45.0
38,27.0,45.0,139.0,44.0,46.0
39,18.0,39.0,191.0,36.0,47.0
40,20.0,30.0,78.0,15.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,9.0,31.0,172.0,45.0,50.0
43,25.0,47.0,179.0,33.0,51.0
44,20.0,45.0,180.0,42.0,52.0
45,20.0,43.0,165.0,46.0,53.0
46,38.0,62.0,152.0,37.0,54.0
47,27.0,48.0,163.0,57.0,55.0
48,6.0,24.0,165.0,51.0,56.0
49,13.0,27.0,174.0,59.0,57.0
50,21.0,44.0,166.0,48.0,58.0
51,34.0,46.0,168.0,49.0,59.0
52,8.0,31.0,180.0,50.0,60.0
53,25.0,53.0,169.0,36.0,61.0
54,24.0,40.0,131.0,25.0,62.0
55,2.0,0.0,,1.0,63.0
56,19.0,40.0,170.0,43.0,64.0
57,17.0,20.0,197.0,35.0,65.0
58,2.0,25.0,234.0,35.0,66.0
59,28.0,51.0,200.0,27.0,67.0
60,6.0,27.0,224.0,49.0,68.0
61,20.0,39.0,187.0,41.0,69.0
62,24.0,64.0,139.0,48.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,9.0,41.0,125.0,44.0,72.0
65,26.0,59.0,177.0,31.0,73.0
66,49.0,74.0,131.0,39.0,74.0
67,5.0,39.0,184.0,30.0,75.0
68,12.0,29.0,127.0,42.0,76.0
69,0.0,0.0,,1.0,77.0
70,5.0,15.0,191.0,38.0,78.0
71,9.0,20.0,195.0,45.0,79.0
72,10.0,27.0,214.0,35.0,80.0
73,2.0,21.0,198.0,45.0,81.0
74,8.0,20.0,220.0,23.0,82.0
75,12.0,21.0,201.0,29.0,83.0
76,9.0,24.0,201.0,33.0,84.0
77,22.0,27.0,188.0,33.0,85.0
78,4.0,16.0,243.0,28.0,86.0
79,11.0,26.0,203.0,48.0,87.0
80,29.0,33.0,163.0,52.0,88.0
81,11.0,11.0,208.0,43.0,89.0
82,23.0,34.0,162.0,44.0,90.0
83,2.0,0.0,1.0,0.0,91.0
84,16.0,18.0,152.0,34.0,92.0
85,19.0,17.0,171.0,46.0,93.0
86,11.0,18.0,196.0,34.0,94.0
87,31.0,38.0,145.0,37.0,95.0
88,28.0,28.0,159.0,46.0,96.0
89,17.0,24.0,145.0,39.0,97.0
90,15.0,17.0,229.0,26.0,98.0
91,8.0,11.0,240.0,32.0,99.0
92,32.0,32.0,198.0,21.0,100.0
93,43.0,39.0,166.0,51.0,101.0
94,19.0,23.0,211.0,33.0,102.0
95,5.0,11.0,193.0,33.0,103.0
96,6.0,11.0,191.0,44.0,104.0
97,11.0,25.0,191.0,33.0,105.0
98,31.0,33.0,144.0,34.0,106.0
99,12.0,15.0,230.0,30.0,107.0
100,8.0,13.0,230.0,42.0,108.0
101,8.0,10.0,146.0,19.0,109.0
102,2.0,0.0,,1.0,111.0
103,19.0,23.0,138.0,25.0,112.0
104,31.0,36.0,165.0,41.0,113.0
105,36.0,36.0,134.0,45.0,114.0
106,33.0,46.0,163.0,36.0,115.0
107,28.0,27.0,205.0,24.0,116.0
108,37.0,44.0,134.0,52.0,117.0
109,33.0,41.0,94.0,37.0,118.0
110,3.0,0.0,,2.0,119.0
111,15.0,34.0,165.0,34.0,120.0
112,28.0,28.0,169.0,34.0,121.0
113,33.0,40.0,133.0,40.0,122.0
114,17.0,22.0,163.0,27.0,123.0
115,17.0,27.0,165.0,53.0,124.0
116,15.0,24.0,142.0,32.0,125.0
117,3.0,0.0,,2.0,127.0
118,7.0,18.0,192.0,26.0,128.0
119,19.0,22.0,189.0,27.0,129.0
