,DEL,INS,OK,SUB,page_num
0,6.0,14.0,100.0,50.0,7.0
1,34.0,38.0,129.0,93.0,8.0
2,12.0,35.0,137.0,64.0,9.0
3,3.0,13.0,53.0,17.0,10.0
4,0.0,2.0,,1.0,11.0
5,20.0,48.0,91.0,41.0,12.0
6,19.0,50.0,100.0,67.0,13.0
7,14.0,40.0,140.0,62.0,14.0
8,13.0,47.0,150.0,68.0,15.0
9,13.0,50.0,154.0,49.0,16.0
10,23.0,52.0,97.0,58.0,17.0
11,5.0,20.0,24.0,18.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,24.0,55.0,153.0,45.0,20.0
14,34.0,69.0,115.0,49.0,21.0
15,25.0,51.0,94.0,56.0,22.0
16,20.0,46.0,119.0,60.0,23.0
17,15.0,46.0,137.0,57.0,24.0
18,4.0,39.0,176.0,63.0,25.0
19,14.0,48.0,132.0,42.0,26.0
20,14.0,38.0,152.0,79.0,27.0
21,22.0,51.0,79.0,57.0,28.0
22,11.0,44.0,155.0,56.0,29.0
23,16.0,42.0,159.0,40.0,30.0
24,7.0,40.0,198.0,51.0,31.0
25,22.0,61.0,117.0,62.0,32.0
26,21.0,51.0,148.0,50.0,33.0
27,10.0,43.0,164.0,65.0,34.0
28,3.0,35.0,192.0,59.0,35.0
29,5.0,27.0,209.0,43.0,36.0
30,9.0,33.0,200.0,61.0,37.0
31,9.0,50.0,150.0,67.0,38.0
32,18.0,57.0,132.0,60.0,39.0
33,4.0,24.0,100.0,24.0,40.0
34,16.0,44.0,166.0,40.0,42.0
35,25.0,61.0,156.0,61.0,43.0
36,37.0,70.0,132.0,61.0,44.0
37,23.0,38.0,168.0,67.0,45.0
38,25.0,62.0,139.0,46.0,46.0
39,22.0,53.0,180.0,43.0,47.0
40,20.0,37.0,80.0,13.0,48.0
41,0.0,1.0,1.0,1.0,49.0
42,12.0,33.0,148.0,66.0,50.0
43,28.0,54.0,153.0,56.0,51.0
44,21.0,55.0,161.0,60.0,52.0
45,15.0,45.0,151.0,65.0,53.0
46,36.0,54.0,138.0,53.0,54.0
47,25.0,46.0,160.0,62.0,55.0
48,6.0,36.0,168.0,48.0,56.0
49,9.0,41.0,182.0,55.0,57.0
50,20.0,46.0,164.0,51.0,58.0
51,31.0,52.0,148.0,72.0,59.0
52,8.0,36.0,161.0,69.0,60.0
53,25.0,50.0,140.0,65.0,61.0
54,18.0,40.0,107.0,55.0,62.0
55,2.0,0.0,,1.0,63.0
56,21.0,52.0,132.0,79.0,64.0
57,13.0,30.0,175.0,61.0,65.0
58,4.0,28.0,203.0,64.0,66.0
59,28.0,55.0,170.0,57.0,67.0
60,8.0,31.0,202.0,69.0,68.0
61,21.0,51.0,162.0,65.0,69.0
62,18.0,66.0,115.0,78.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,11.0,46.0,113.0,54.0,72.0
65,23.0,53.0,159.0,52.0,73.0
66,47.0,83.0,115.0,57.0,74.0
67,5.0,43.0,166.0,48.0,75.0
68,12.0,42.0,118.0,51.0,76.0
69,0.0,0.0,,1.0,77.0
70,7.0,21.0,156.0,71.0,78.0
71,5.0,26.0,185.0,59.0,79.0
72,12.0,24.0,184.0,63.0,80.0
73,2.0,24.0,173.0,70.0,81.0
74,10.0,20.0,188.0,53.0,82.0
75,10.0,15.0,170.0,62.0,83.0
76,10.0,18.0,177.0,56.0,84.0
77,22.0,19.0,164.0,57.0,85.0
78,9.0,12.0,203.0,63.0,86.0
79,9.0,17.0,181.0,72.0,87.0
80,30.0,29.0,142.0,72.0,88.0
81,11.0,14.0,185.0,66.0,89.0
82,24.0,25.0,134.0,71.0,90.0
83,2.0,0.0,1.0,0.0,91.0
84,17.0,17.0,139.0,46.0,92.0
85,13.0,17.0,163.0,60.0,93.0
86,13.0,14.0,176.0,52.0,94.0
87,31.0,41.0,123.0,59.0,95.0
88,34.0,29.0,141.0,58.0,96.0
89,17.0,16.0,143.0,41.0,97.0
90,14.0,15.0,204.0,52.0,98.0
91,12.0,7.0,224.0,44.0,99.0
92,35.0,30.0,169.0,47.0,100.0
93,36.0,32.0,166.0,58.0,101.0
94,14.0,20.0,191.0,58.0,102.0
95,6.0,12.0,191.0,34.0,103.0
96,6.0,16.0,171.0,64.0,104.0
97,10.0,20.0,182.0,43.0,105.0
98,29.0,34.0,145.0,35.0,106.0
99,13.0,12.0,202.0,57.0,107.0
100,9.0,10.0,202.0,69.0,108.0
101,11.0,7.0,133.0,29.0,109.0
102,2.0,0.0,,1.0,111.0
103,17.0,21.0,115.0,50.0,112.0
104,28.0,31.0,148.0,61.0,113.0
105,31.0,34.0,125.0,59.0,114.0
106,29.0,44.0,151.0,52.0,115.0
107,25.0,29.0,191.0,41.0,116.0
108,43.0,42.0,122.0,58.0,117.0
109,34.0,35.0,89.0,41.0,118.0
110,3.0,0.0,,2.0,119.0
111,12.0,27.0,152.0,50.0,120.0
112,26.0,33.0,142.0,63.0,121.0
113,34.0,36.0,116.0,56.0,122.0
114,15.0,21.0,134.0,58.0,123.0
115,14.0,26.0,148.0,73.0,124.0
116,12.0,18.0,131.0,46.0,125.0
117,3.0,0.0,,2.0,127.0
118,7.0,18.0,170.0,48.0,128.0
119,21.0,25.0,161.0,53.0,129.0
120,21.0,21.0,150.0,52.0,130.0
121,26.0,29.0,155.0,45.0,131.0
122,12.0,17.0,180.0,36.0,132.0
123,35.0,41.0,86.0,46.0,133.0
124,1.0,0.0,,5.0,135.0
125,22.0,24.0,163.0,33.0,136.0
126,16.0,14.0,162.0,56.0,137.0
127,26.0,24.0,107.0,58.0,138.0
128,14.0,18.0,160.0,71.0,139.0
129,18.0,34.0,159.0,67.0,140.0
130,25.0,25.0,175.0,57.0,141.0
131,13.0,20.0,159.0,61.0,142.0
132,8.0,12.0,172.0,71.0,143.0
133,18.0,18.0,168.0,66.0,144.0
134,27.0,30.0,107.0,63.0,145.0
135,25.0,27.0,144.0,62.0,146.0
136,21.0,16.0,162.0,55.0,147.0
137,16.0,19.0,97.0,34.0,148.0
138,2.0,0.0,,2.0,149.0
139,5.0,14.0,182.0,57.0,150.0
140,31.0,24.0,139.0,76.0,151.0
141,14.0,24.0,147.0,78.0,152.0
142,14.0,14.0,166.0,76.0,153.0
143,10.0,22.0,190.0,65.0,154.0
144,33.0,33.0,156.0,57.0,155.0
145,12.0,16.0,168.0,49.0,156.0
146,4.0,0.0,,1.0,157.0
147,21.0,25.0,132.0,66.0,158.0
148,15.0,23.0,170.0,58.0,159.0
149,18.0,26.0,188.0,59.0,160.0
150,16.0,18.0,176.0,48.0,161.0
151,14.0,30.0,132.0,50.0,162.0
152,26.0,23.0,116.0,61.0,163.0
153,8.0,13.0,63.0,23.0,164.0
154,3.0,1.0,,2.0,165.0
155,16.0,20.0,113.0,51.0,166.0
156,33.0,35.0,135.0,57.0,167.0
157,18.0,27.0,154.0,79.0,168.0
158,10.0,13.0,201.0,68.0,169.0
159,16.0,24.0,182.0,73.0,170.0
160,14.0,10.0,100.0,40.0,171.0
161,3.0,0.0,1.0,1.0,173.0
162,15.0,19.0,105.0,64.0,174.0
163,24.0,25.0,106.0,51.0,175.0
164,22.0,23.0,158.0,43.0,176.0
165,20.0,27.0,93.0,38.0,177.0
166,18.0,18.0,158.0,44.0,178.0
167,0.0,257.0,2.0,3.0,179.0
168,22.0,32.0,136.0,44.0,180.0
169,19.0,28.0,156.0,52.0,181.0
170,15.0,16.0,155.0,32.0,182.0
171,11.0,16.0,120.0,34.0,183.0
172,22.0,24.0,117.0,35.0,186.0
173,22.0,19.0,199.0,51.0,187.0
174,22.0,21.0,150.0,56.0,188.0
175,24.0,28.0,137.0,42.0,189.0
176,16.0,32.0,145.0,66.0,190.0
177,22.0,18.0,144.0,60.0,191.0
178,30.0,35.0,147.0,55.0,192.0
179,28.0,22.0,142.0,65.0,193.0
180,12.0,11.0,56.0,28.0,194.0
181,0.0,0.0,,1.0,195.0
182,35.0,25.0,110.0,82.0,196.0
183,21.0,25.0,150.0,104.0,197.0
184,29.0,26.0,168.0,63.0,198.0
185,18.0,23.0,167.0,50.0,199.0
186,20.0,25.0,107.0,66.0,200.0
187,29.0,27.0,79.0,83.0,201.0
188,28.0,39.0,122.0,45.0,202.0
189,18.0,30.0,139.0,52.0,203.0
190,20.0,41.0,135.0,87.0,204.0
191,16.0,24.0,112.0,69.0,205.0
192,27.0,26.0,137.0,68.0,206.0
193,11.0,22.0,142.0,56.0,207.0
194,45.0,44.0,93.0,62.0,208.0
195,21.0,23.0,116.0,74.0,209.0
196,17.0,17.0,120.0,44.0,210.0
197,0.0,0.0,,2.0,211.0
198,4.0,16.0,158.0,52.0,212.0
199,41.0,35.0,81.0,82.0,213.0
200,33.0,31.0,126.0,38.0,214.0
201,34.0,32.0,151.0,38.0,215.0
