,DEL,INS,OK,SUB,page_num
0,6.0,18.0,100.0,50.0,7.0
1,31.0,32.0,130.0,95.0,8.0
2,11.0,38.0,132.0,70.0,9.0
3,1.0,16.0,59.0,13.0,10.0
4,0.0,1.0,1.0,0.0,11.0
5,21.0,54.0,94.0,37.0,12.0
6,24.0,50.0,101.0,61.0,13.0
7,12.0,45.0,143.0,61.0,14.0
8,9.0,46.0,163.0,59.0,15.0
9,13.0,52.0,156.0,47.0,16.0
10,23.0,53.0,106.0,49.0,17.0
11,3.0,24.0,27.0,17.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,23.0,51.0,154.0,45.0,20.0
14,34.0,71.0,118.0,46.0,21.0
15,21.0,64.0,98.0,56.0,22.0
16,18.0,54.0,128.0,53.0,23.0
17,15.0,48.0,139.0,55.0,24.0
18,9.0,43.0,175.0,59.0,25.0
19,14.0,46.0,137.0,37.0,26.0
20,14.0,41.0,163.0,68.0,27.0
21,22.0,57.0,82.0,54.0,28.0
22,12.0,43.0,155.0,55.0,29.0
23,15.0,36.0,160.0,40.0,30.0
24,6.0,37.0,193.0,57.0,31.0
25,20.0,67.0,123.0,58.0,32.0
26,20.0,59.0,155.0,44.0,33.0
27,8.0,52.0,181.0,50.0,34.0
28,3.0,32.0,194.0,57.0,35.0
29,6.0,27.0,213.0,38.0,36.0
30,9.0,38.0,196.0,65.0,37.0
31,9.0,53.0,153.0,64.0,38.0
32,18.0,53.0,136.0,56.0,39.0
33,4.0,23.0,98.0,26.0,40.0
34,14.0,45.0,158.0,50.0,42.0
35,29.0,63.0,160.0,53.0,43.0
36,37.0,68.0,142.0,51.0,44.0
37,21.0,37.0,178.0,59.0,45.0
38,25.0,71.0,137.0,48.0,46.0
39,16.0,50.0,186.0,43.0,47.0
40,18.0,32.0,73.0,22.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,9.0,34.0,156.0,61.0,50.0
43,25.0,60.0,164.0,48.0,51.0
44,19.0,44.0,159.0,64.0,52.0
45,16.0,43.0,156.0,59.0,53.0
46,33.0,57.0,140.0,54.0,54.0
47,21.0,54.0,174.0,52.0,55.0
48,3.0,33.0,171.0,48.0,56.0
49,6.0,39.0,183.0,57.0,57.0
50,18.0,53.0,170.0,47.0,58.0
51,29.0,56.0,159.0,63.0,59.0
52,6.0,36.0,170.0,62.0,60.0
53,24.0,62.0,150.0,56.0,61.0
54,19.0,45.0,99.0,62.0,62.0
55,2.0,1.0,,1.0,63.0
56,19.0,49.0,142.0,71.0,64.0
57,17.0,28.0,170.0,62.0,65.0
58,1.0,22.0,207.0,63.0,66.0
59,27.0,58.0,170.0,58.0,67.0
60,4.0,40.0,219.0,56.0,68.0
61,17.0,45.0,176.0,55.0,69.0
