,DEL,INS,OK,SUB,page_num
0,6.0,17.0,111.0,39.0,7.0
1,34.0,40.0,168.0,54.0,8.0
2,12.0,36.0,162.0,39.0,9.0
3,3.0,14.0,58.0,12.0,10.0
4,0.0,2.0,,1.0,11.0
5,20.0,48.0,97.0,35.0,12.0
6,20.0,52.0,122.0,44.0,13.0
7,14.0,36.0,157.0,45.0,14.0
8,13.0,47.0,173.0,45.0,15.0
9,13.0,51.0,169.0,34.0,16.0
10,23.0,52.0,112.0,43.0,17.0
11,4.0,19.0,29.0,14.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,24.0,55.0,171.0,27.0,20.0
14,36.0,68.0,124.0,38.0,21.0
15,22.0,48.0,110.0,43.0,22.0
16,22.0,45.0,138.0,39.0,23.0
17,16.0,51.0,150.0,43.0,24.0
18,4.0,42.0,191.0,48.0,25.0
19,14.0,51.0,146.0,28.0,26.0
20,14.0,37.0,182.0,49.0,27.0
21,22.0,52.0,91.0,45.0,28.0
22,11.0,42.0,172.0,39.0,29.0
23,16.0,42.0,172.0,27.0,30.0
24,7.0,39.0,207.0,42.0,31.0
25,22.0,58.0,131.0,48.0,32.0
26,22.0,49.0,161.0,36.0,33.0
27,11.0,41.0,182.0,46.0,34.0
28,3.0,34.0,212.0,39.0,35.0
29,5.0,28.0,217.0,35.0,36.0
30,9.0,34.0,215.0,46.0,37.0
31,10.0,50.0,165.0,51.0,38.0
32,18.0,54.0,147.0,45.0,39.0
33,5.0,25.0,108.0,15.0,40.0
34,17.0,44.0,175.0,30.0,42.0
35,26.0,63.0,171.0,45.0,43.0
36,37.0,71.0,137.0,56.0,44.0
37,22.0,36.0,177.0,59.0,45.0
38,23.0,59.0,155.0,32.0,46.0
39,22.0,51.0,186.0,37.0,47.0
40,20.0,38.0,83.0,10.0,48.0
41,0.0,1.0,1.0,1.0,49.0
42,11.0,37.0,164.0,51.0,50.0
43,27.0,50.0,171.0,39.0,51.0
44,21.0,53.0,180.0,41.0,52.0
45,14.0,45.0,170.0,47.0,53.0
46,35.0,55.0,153.0,39.0,54.0
47,26.0,46.0,163.0,58.0,55.0
48,7.0,32.0,169.0,46.0,56.0
49,12.0,38.0,181.0,53.0,57.0
50,20.0,48.0,168.0,47.0,58.0
51,30.0,48.0,165.0,56.0,59.0
52,8.0,39.0,183.0,47.0,60.0
53,24.0,51.0,173.0,33.0,61.0
54,18.0,38.0,133.0,29.0,62.0
55,2.0,0.0,,1.0,63.0
56,20.0,42.0,168.0,44.0,64.0
57,13.0,24.0,201.0,35.0,65.0
58,5.0,25.0,232.0,34.0,66.0
59,28.0,53.0,193.0,34.0,67.0
60,7.0,32.0,228.0,44.0,68.0
61,22.0,49.0,183.0,43.0,69.0
