,DEL,INS,OK,SUB,page_num
0,7.0,5.0,131.0,18.0,7.0
1,31.0,10.0,190.0,35.0,8.0
2,9.0,12.0,173.0,31.0,9.0
3,1.0,9.0,68.0,4.0,10.0
4,0.0,1.0,1.0,0.0,11.0
5,20.0,27.0,110.0,22.0,12.0
6,24.0,24.0,136.0,26.0,13.0
7,13.0,18.0,176.0,27.0,14.0
8,9.0,10.0,200.0,22.0,15.0
9,13.0,16.0,189.0,14.0,16.0
10,25.0,22.0,132.0,21.0,17.0
11,4.0,9.0,37.0,6.0,18.0
12,2.0,0.0,1.0,0.0,19.0
13,24.0,28.0,185.0,13.0,20.0
14,35.0,38.0,138.0,25.0,21.0
15,22.0,27.0,130.0,23.0,22.0
16,18.0,22.0,160.0,21.0,23.0
17,15.0,19.0,166.0,28.0,24.0
18,10.0,23.0,197.0,36.0,25.0
19,13.0,22.0,164.0,11.0,26.0
20,13.0,13.0,201.0,31.0,27.0
21,22.0,30.0,106.0,30.0,28.0
22,14.0,19.0,180.0,28.0,29.0
23,15.0,14.0,187.0,13.0,30.0
24,6.0,10.0,228.0,22.0,31.0
25,21.0,27.0,155.0,25.0,32.0
26,19.0,20.0,181.0,19.0,33.0
27,8.0,15.0,208.0,23.0,34.0
28,3.0,10.0,230.0,21.0,35.0
29,6.0,11.0,234.0,17.0,36.0
30,9.0,11.0,232.0,29.0,37.0
31,11.0,19.0,190.0,25.0,38.0
32,20.0,21.0,170.0,20.0,39.0
33,4.0,8.0,119.0,5.0,40.0
34,16.0,21.0,183.0,23.0,42.0
35,32.0,38.0,183.0,27.0,43.0
36,40.0,40.0,164.0,26.0,44.0
37,20.0,17.0,212.0,26.0,45.0
38,26.0,27.0,167.0,17.0,46.0
39,16.0,18.0,213.0,16.0,47.0
40,19.0,21.0,89.0,5.0,48.0
41,0.0,0.0,1.0,1.0,49.0
42,9.0,14.0,188.0,29.0,50.0
43,25.0,26.0,199.0,13.0,51.0
44,20.0,24.0,198.0,24.0,52.0
45,19.0,25.0,188.0,24.0,53.0
46,36.0,36.0,172.0,19.0,54.0
47,24.0,25.0,194.0,29.0,55.0
48,3.0,14.0,184.0,35.0,56.0
49,6.0,6.0,202.0,38.0,57.0
50,18.0,19.0,190.0,27.0,58.0
51,28.0,21.0,198.0,25.0,59.0
52,7.0,17.0,203.0,28.0,60.0
53,23.0,28.0,191.0,16.0,61.0
54,21.0,20.0,138.0,21.0,62.0
55,2.0,1.0,,1.0,63.0
56,23.0,27.0,185.0,24.0,64.0
57,17.0,8.0,213.0,19.0,65.0
58,2.0,7.0,257.0,12.0,66.0
59,28.0,36.0,210.0,17.0,67.0
60,4.0,8.0,257.0,18.0,68.0
61,18.0,18.0,213.0,17.0,69.0
62,23.0,27.0,151.0,37.0,70.0
63,2.0,0.0,1.0,2.0,71.0
64,10.0,21.0,139.0,29.0,72.0
65,26.0,30.0,188.0,20.0,73.0
66,46.0,47.0,149.0,24.0,74.0
67,5.0,14.0,196.0,18.0,75.0
68,14.0,13.0,146.0,21.0,76.0
69,0.0,1.0,,1.0,77.0
70,5.0,6.0,205.0,24.0,78.0
71,3.0,2.0,225.0,21.0,79.0
72,10.0,10.0,224.0,25.0,80.0
