,DEL,INS,OK,SUB,page_num
0,11.0,10.0,75.0,33.0,9.0
1,7.0,11.0,83.0,44.0,10.0
2,18.0,30.0,88.0,67.0,11.0
3,7.0,15.0,99.0,51.0,12.0
4,5.0,20.0,108.0,49.0,13.0
5,13.0,22.0,91.0,73.0,14.0
6,19.0,7.0,109.0,60.0,15.0
7,12.0,22.0,72.0,52.0,16.0
8,12.0,7.0,116.0,61.0,17.0
9,21.0,15.0,53.0,55.0,18.0
10,12.0,9.0,57.0,43.0,19.0
11,22.0,29.0,79.0,33.0,20.0
12,19.0,20.0,101.0,50.0,21.0
13,17.0,12.0,95.0,54.0,22.0
14,17.0,13.0,113.0,67.0,23.0
15,9.0,15.0,97.0,56.0,24.0
16,15.0,21.0,80.0,68.0,25.0
17,11.0,18.0,100.0,70.0,26.0
18,20.0,9.0,102.0,60.0,27.0
19,24.0,20.0,94.0,79.0,28.0
20,25.0,12.0,78.0,78.0,29.0
21,29.0,26.0,45.0,93.0,30.0
22,11.0,16.0,92.0,73.0,31.0
23,15.0,14.0,91.0,80.0,32.0
24,16.0,29.0,76.0,77.0,33.0
25,20.0,17.0,102.0,59.0,34.0
26,22.0,13.0,86.0,73.0,35.0
27,19.0,31.0,71.0,70.0,36.0
28,11.0,14.0,62.0,65.0,37.0
29,14.0,20.0,88.0,73.0,38.0
30,10.0,12.0,91.0,59.0,39.0
31,21.0,27.0,89.0,86.0,40.0
32,13.0,4.0,128.0,65.0,41.0
33,1.0,4.0,36.0,7.0,42.0
34,8.0,10.0,84.0,43.0,43.0
35,13.0,21.0,81.0,69.0,44.0
36,12.0,26.0,68.0,77.0,45.0
37,9.0,21.0,118.0,77.0,46.0
38,13.0,18.0,103.0,60.0,47.0
39,17.0,11.0,82.0,63.0,48.0
40,9.0,20.0,123.0,70.0,49.0
41,13.0,14.0,91.0,63.0,50.0
42,14.0,18.0,74.0,67.0,51.0
43,20.0,25.0,95.0,90.0,52.0
44,17.0,27.0,76.0,73.0,53.0
45,13.0,16.0,110.0,61.0,54.0
46,13.0,17.0,104.0,55.0,55.0
47,9.0,1.0,29.0,32.0,56.0
48,11.0,14.0,86.0,63.0,57.0
49,24.0,26.0,85.0,69.0,58.0
50,29.0,33.0,80.0,72.0,59.0
51,8.0,7.0,115.0,47.0,60.0
52,14.0,22.0,76.0,78.0,61.0
53,19.0,22.0,66.0,71.0,62.0
54,21.0,26.0,88.0,61.0,63.0
55,11.0,15.0,108.0,56.0,64.0
56,12.0,18.0,92.0,75.0,65.0
57,19.0,21.0,78.0,63.0,66.0
58,21.0,19.0,74.0,72.0,67.0
59,13.0,12.0,69.0,51.0,68.0
60,3.0,13.0,50.0,47.0,69.0
61,15.0,20.0,76.0,54.0,70.0
62,9.0,14.0,113.0,50.0,71.0
63,16.0,23.0,59.0,74.0,72.0
64,12.0,15.0,90.0,62.0,73.0
65,15.0,21.0,89.0,67.0,74.0
66,15.0,21.0,92.0,61.0,75.0
67,32.0,36.0,73.0,72.0,76.0
68,10.0,17.0,91.0,75.0,77.0
69,22.0,17.0,68.0,80.0,78.0
70,10.0,11.0,67.0,50.0,79.0
71,12.0,24.0,59.0,80.0,80.0
72,18.0,26.0,72.0,92.0,81.0
73,9.0,17.0,111.0,77.0,82.0
74,25.0,16.0,100.0,69.0,83.0
75,6.0,12.0,124.0,65.0,84.0
76,18.0,14.0,75.0,66.0,85.0
77,15.0,15.0,93.0,49.0,86.0
78,18.0,18.0,111.0,52.0,87.0
79,8.0,17.0,92.0,80.0,88.0
80,10.0,11.0,114.0,59.0,89.0
81,15.0,12.0,85.0,64.0,90.0
82,11.0,18.0,60.0,52.0,91.0
83,7.0,13.0,83.0,52.0,92.0
84,15.0,20.0,89.0,65.0,93.0
85,11.0,25.0,56.0,89.0,94.0
86,7.0,19.0,90.0,80.0,95.0
87,5.0,14.0,100.0,50.0,96.0
88,8.0,18.0,101.0,63.0,97.0
89,18.0,12.0,97.0,77.0,98.0
90,23.0,21.0,92.0,88.0,99.0
91,0.0,5.0,34.0,18.0,100.0
92,11.0,23.0,67.0,56.0,101.0
93,15.0,24.0,76.0,83.0,102.0
94,6.0,26.0,91.0,70.0,103.0
95,19.0,14.0,93.0,69.0,104.0
96,10.0,21.0,102.0,64.0,105.0
97,19.0,18.0,100.0,62.0,106.0
98,23.0,22.0,112.0,62.0,107.0
99,12.0,12.0,89.0,65.0,108.0
100,23.0,15.0,73.0,72.0,109.0
101,15.0,21.0,102.0,59.0,110.0
102,14.0,19.0,124.0,73.0,111.0
103,11.0,21.0,109.0,68.0,112.0
104,9.0,17.0,90.0,61.0,113.0
105,15.0,18.0,94.0,55.0,114.0
106,12.0,22.0,100.0,59.0,115.0
107,19.0,18.0,110.0,64.0,116.0
108,10.0,15.0,91.0,60.0,117.0
109,10.0,14.0,75.0,50.0,118.0
110,13.0,17.0,86.0,77.0,119.0
111,19.0,13.0,107.0,64.0,120.0
112,11.0,16.0,97.0,62.0,121.0
113,12.0,9.0,91.0,60.0,122.0
114,12.0,18.0,74.0,78.0,123.0
115,15.0,18.0,84.0,69.0,124.0
116,7.0,9.0,64.0,47.0,125.0
117,10.0,17.0,91.0,63.0,126.0
118,11.0,19.0,61.0,62.0,127.0
119,16.0,22.0,87.0,72.0,128.0
120,13.0,24.0,100.0,56.0,129.0
121,18.0,18.0,87.0,56.0,130.0
122,10.0,19.0,87.0,65.0,131.0
123,6.0,10.0,89.0,44.0,132.0
124,17.0,20.0,60.0,78.0,133.0
125,18.0,20.0,83.0,61.0,134.0
126,25.0,24.0,92.0,65.0,135.0
127,12.0,16.0,77.0,55.0,136.0
128,18.0,15.0,97.0,54.0,137.0
129,23.0,26.0,102.0,57.0,138.0
130,16.0,17.0,88.0,59.0,139.0
131,14.0,17.0,97.0,73.0,140.0
132,11.0,13.0,73.0,61.0,141.0
133,9.0,11.0,73.0,59.0,142.0
134,22.0,19.0,101.0,73.0,143.0
135,14.0,21.0,102.0,58.0,144.0
136,19.0,22.0,94.0,57.0,145.0
137,21.0,17.0,75.0,61.0,146.0
138,21.0,28.0,80.0,54.0,147.0
139,9.0,17.0,81.0,71.0,148.0
140,12.0,22.0,84.0,67.0,149.0
141,9.0,14.0,83.0,62.0,150.0
142,15.0,30.0,93.0,69.0,151.0
143,14.0,25.0,99.0,64.0,152.0
144,10.0,21.0,86.0,58.0,153.0
145,16.0,13.0,100.0,54.0,154.0
146,10.0,14.0,82.0,76.0,155.0
147,25.0,25.0,87.0,65.0,156.0
148,21.0,30.0,46.0,97.0,157.0
149,17.0,17.0,73.0,76.0,158.0
150,27.0,26.0,105.0,67.0,159.0
151,26.0,45.0,86.0,68.0,160.0
152,19.0,28.0,103.0,60.0,161.0
153,28.0,30.0,84.0,84.0,162.0
154,21.0,18.0,84.0,72.0,163.0
155,22.0,26.0,75.0,81.0,164.0
156,18.0,25.0,91.0,69.0,165.0
157,0.0,1.0,21.0,6.0,166.0
158,6.0,8.0,73.0,44.0,167.0
159,13.0,24.0,98.0,57.0,168.0
160,15.0,25.0,89.0,70.0,169.0
161,16.0,11.0,85.0,66.0,170.0
162,6.0,12.0,110.0,45.0,171.0
163,9.0,18.0,93.0,57.0,172.0
164,14.0,19.0,79.0,63.0,173.0
165,2.0,4.0,32.0,24.0,174.0
166,5.0,13.0,87.0,49.0,175.0
167,16.0,13.0,104.0,56.0,176.0
168,14.0,26.0,82.0,95.0,177.0
169,9.0,18.0,98.0,70.0,178.0
170,22.0,22.0,106.0,71.0,179.0
171,19.0,16.0,90.0,63.0,180.0
172,15.0,23.0,77.0,82.0,181.0
173,5.0,6.0,112.0,43.0,182.0
174,9.0,12.0,67.0,49.0,183.0
175,14.0,16.0,93.0,70.0,184.0
176,14.0,19.0,80.0,83.0,185.0
