,DEL,INS,OK,SUB,page_num
0,7.0,8.0,76.0,36.0,9.0
1,4.0,7.0,88.0,42.0,10.0
2,15.0,24.0,92.0,66.0,11.0
3,3.0,10.0,99.0,55.0,12.0
4,1.0,9.0,111.0,50.0,13.0
5,7.0,14.0,95.0,75.0,14.0
6,11.0,9.0,109.0,68.0,15.0
7,12.0,13.0,75.0,49.0,16.0
8,7.0,3.0,121.0,61.0,17.0
9,14.0,11.0,60.0,55.0,18.0
10,4.0,9.0,60.0,48.0,19.0
11,21.0,26.0,82.0,31.0,20.0
12,17.0,14.0,104.0,49.0,21.0
13,16.0,15.0,86.0,64.0,22.0
14,10.0,12.0,121.0,66.0,23.0
15,9.0,13.0,97.0,56.0,24.0
16,11.0,8.0,86.0,66.0,25.0
17,11.0,9.0,103.0,67.0,26.0
18,10.0,12.0,107.0,65.0,27.0
19,20.0,21.0,98.0,79.0,28.0
20,14.0,15.0,89.0,78.0,29.0
21,14.0,30.0,56.0,97.0,30.0
22,4.0,15.0,97.0,75.0,31.0
23,5.0,10.0,99.0,82.0,32.0
24,7.0,18.0,89.0,73.0,33.0
25,10.0,13.0,106.0,65.0,34.0
26,5.0,17.0,98.0,78.0,35.0
27,15.0,15.0,76.0,69.0,36.0
28,7.0,9.0,65.0,66.0,37.0
29,6.0,12.0,102.0,67.0,38.0
30,7.0,4.0,97.0,56.0,39.0
31,11.0,17.0,98.0,87.0,40.0
32,8.0,7.0,133.0,65.0,41.0
33,2.0,3.0,32.0,10.0,42.0
34,3.0,11.0,87.0,45.0,43.0
35,5.0,11.0,90.0,68.0,44.0
36,5.0,30.0,73.0,79.0,45.0
37,9.0,11.0,131.0,64.0,46.0
38,5.0,6.0,112.0,59.0,47.0
39,12.0,6.0,98.0,52.0,48.0
40,9.0,10.0,122.0,71.0,49.0
41,6.0,13.0,98.0,63.0,50.0
42,7.0,9.0,88.0,60.0,51.0
43,19.0,9.0,104.0,82.0,52.0
44,12.0,19.0,81.0,73.0,53.0
45,8.0,20.0,113.0,63.0,54.0
46,9.0,13.0,111.0,52.0,55.0
47,1.0,3.0,41.0,28.0,56.0
48,4.0,11.0,95.0,61.0,57.0
49,18.0,22.0,100.0,60.0,58.0
50,23.0,31.0,96.0,62.0,59.0
51,9.0,7.0,111.0,50.0,60.0
52,4.0,28.0,82.0,82.0,61.0
53,19.0,21.0,75.0,62.0,62.0
54,13.0,16.0,90.0,67.0,63.0
55,6.0,11.0,107.0,62.0,64.0
56,6.0,9.0,101.0,72.0,65.0
57,14.0,22.0,81.0,65.0,66.0
58,12.0,17.0,91.0,64.0,67.0
59,16.0,20.0,68.0,49.0,68.0
60,3.0,10.0,55.0,42.0,69.0
61,8.0,13.0,78.0,59.0,70.0
62,2.0,8.0,118.0,52.0,71.0
63,9.0,15.0,74.0,66.0,72.0
64,2.0,9.0,95.0,67.0,73.0
65,4.0,15.0,103.0,64.0,74.0
66,13.0,16.0,93.0,62.0,75.0
67,24.0,32.0,75.0,78.0,76.0
68,1.0,9.0,106.0,69.0,77.0
69,10.0,13.0,81.0,79.0,78.0
70,6.0,5.0,67.0,54.0,79.0
71,7.0,11.0,58.0,86.0,80.0
72,9.0,27.0,73.0,100.0,81.0
73,7.0,7.0,114.0,76.0,82.0
74,9.0,11.0,116.0,69.0,83.0
75,3.0,8.0,130.0,62.0,84.0
76,11.0,13.0,82.0,66.0,85.0
77,8.0,11.0,102.0,47.0,86.0
78,4.0,13.0,123.0,54.0,87.0
79,2.0,13.0,105.0,73.0,88.0
80,4.0,7.0,117.0,62.0,89.0
81,9.0,12.0,92.0,63.0,90.0
82,7.0,15.0,65.0,51.0,91.0
83,3.0,13.0,87.0,52.0,92.0
84,6.0,11.0,95.0,68.0,93.0
85,3.0,19.0,78.0,75.0,94.0
86,6.0,7.0,92.0,79.0,95.0
87,5.0,9.0,100.0,50.0,96.0
88,7.0,16.0,96.0,69.0,97.0
89,8.0,10.0,103.0,81.0,98.0
90,8.0,10.0,114.0,81.0,99.0
91,1.0,2.0,30.0,21.0,100.0
92,6.0,21.0,69.0,59.0,101.0
93,13.0,10.0,83.0,78.0,102.0
94,4.0,8.0,96.0,67.0,103.0
95,9.0,11.0,102.0,70.0,104.0
96,3.0,12.0,108.0,65.0,105.0
97,11.0,11.0,115.0,55.0,106.0
98,20.0,26.0,111.0,66.0,107.0
99,11.0,11.0,89.0,66.0,108.0
100,19.0,9.0,79.0,70.0,109.0
101,8.0,8.0,114.0,54.0,110.0
102,13.0,18.0,122.0,76.0,111.0
103,7.0,15.0,112.0,69.0,112.0
104,7.0,15.0,94.0,59.0,113.0
105,15.0,16.0,93.0,56.0,114.0
106,10.0,14.0,105.0,56.0,115.0
107,14.0,13.0,118.0,61.0,116.0
108,5.0,9.0,101.0,55.0,117.0
109,4.0,10.0,81.0,50.0,118.0
110,8.0,10.0,91.0,77.0,119.0
111,4.0,5.0,118.0,68.0,120.0
112,7.0,14.0,104.0,59.0,121.0
113,4.0,7.0,96.0,63.0,122.0
114,11.0,12.0,87.0,66.0,123.0
115,11.0,8.0,87.0,70.0,124.0
116,2.0,6.0,68.0,48.0,125.0
117,8.0,7.0,103.0,53.0,126.0
118,3.0,12.0,71.0,60.0,127.0
119,13.0,21.0,89.0,73.0,128.0
120,6.0,15.0,100.0,63.0,129.0
121,16.0,12.0,89.0,56.0,130.0
122,7.0,7.0,97.0,58.0,131.0
123,5.0,7.0,88.0,46.0,132.0
124,11.0,19.0,78.0,66.0,133.0
125,14.0,18.0,97.0,51.0,134.0
126,15.0,19.0,108.0,59.0,135.0
127,6.0,10.0,87.0,51.0,136.0
128,11.0,7.0,103.0,55.0,137.0
129,14.0,15.0,104.0,64.0,138.0
130,10.0,10.0,83.0,70.0,139.0
131,1.0,12.0,116.0,67.0,140.0
132,8.0,9.0,84.0,53.0,141.0
133,5.0,8.0,85.0,51.0,142.0
134,15.0,11.0,118.0,63.0,143.0
135,10.0,24.0,110.0,54.0,144.0
136,16.0,18.0,95.0,59.0,145.0
137,13.0,20.0,72.0,72.0,146.0
138,16.0,22.0,82.0,57.0,147.0
139,9.0,19.0,78.0,74.0,148.0
140,6.0,16.0,92.0,65.0,149.0
141,2.0,13.0,94.0,58.0,150.0
142,10.0,15.0,101.0,66.0,151.0
143,10.0,18.0,109.0,58.0,152.0
144,6.0,10.0,100.0,48.0,153.0
145,8.0,15.0,110.0,52.0,154.0
146,2.0,12.0,89.0,77.0,155.0
147,15.0,14.0,93.0,69.0,156.0
148,9.0,18.0,58.0,97.0,157.0
149,4.0,11.0,84.0,78.0,158.0
150,21.0,25.0,102.0,76.0,159.0
151,17.0,38.0,86.0,77.0,160.0
152,19.0,29.0,96.0,67.0,161.0
153,19.0,23.0,84.0,93.0,162.0
154,12.0,18.0,93.0,72.0,163.0
155,7.0,15.0,86.0,85.0,164.0
156,12.0,24.0,92.0,74.0,165.0
157,0.0,1.0,24.0,3.0,166.0
158,0.0,4.0,74.0,49.0,167.0
159,2.0,8.0,111.0,55.0,168.0
160,12.0,16.0,94.0,68.0,169.0
161,7.0,13.0,99.0,61.0,170.0
162,5.0,10.0,98.0,58.0,171.0
163,5.0,10.0,102.0,52.0,172.0
164,8.0,12.0,96.0,52.0,173.0
165,1.0,2.0,40.0,17.0,174.0
166,6.0,7.0,90.0,45.0,175.0
167,12.0,13.0,105.0,59.0,176.0
168,7.0,13.0,100.0,84.0,177.0
169,5.0,7.0,102.0,70.0,178.0
170,19.0,22.0,114.0,66.0,179.0
171,9.0,17.0,102.0,61.0,180.0
172,6.0,20.0,82.0,86.0,181.0
173,6.0,4.0,113.0,41.0,182.0
174,4.0,11.0,80.0,41.0,183.0
175,12.0,13.0,95.0,70.0,184.0
176,4.0,10.0,101.0,72.0,185.0
