,DEL,INS,OK,SUB,page_num
0,11.0,12.0,69.0,39.0,9.0
1,7.0,12.0,79.0,48.0,10.0
2,20.0,31.0,76.0,77.0,11.0
3,8.0,21.0,89.0,60.0,12.0
4,5.0,23.0,100.0,57.0,13.0
5,17.0,22.0,86.0,74.0,14.0
6,16.0,7.0,106.0,66.0,15.0
7,13.0,26.0,65.0,58.0,16.0
8,14.0,7.0,101.0,74.0,17.0
9,21.0,16.0,55.0,53.0,18.0
10,12.0,10.0,54.0,46.0,19.0
11,22.0,27.0,77.0,35.0,20.0
12,20.0,23.0,97.0,53.0,21.0
13,20.0,16.0,90.0,56.0,22.0
14,16.0,17.0,112.0,69.0,23.0
15,14.0,17.0,88.0,60.0,24.0
16,17.0,21.0,79.0,67.0,25.0
17,12.0,19.0,97.0,72.0,26.0
18,16.0,18.0,102.0,64.0,27.0
19,22.0,27.0,92.0,83.0,28.0
20,27.0,12.0,76.0,78.0,29.0
21,28.0,29.0,43.0,96.0,30.0
22,10.0,19.0,92.0,74.0,31.0
23,14.0,17.0,87.0,85.0,32.0
24,15.0,31.0,68.0,86.0,33.0
25,21.0,17.0,91.0,69.0,34.0
26,21.0,11.0,81.0,79.0,35.0
27,21.0,28.0,64.0,75.0,36.0
28,16.0,15.0,52.0,70.0,37.0
29,12.0,25.0,86.0,77.0,38.0
30,11.0,13.0,84.0,65.0,39.0
31,21.0,29.0,79.0,96.0,40.0
32,16.0,8.0,120.0,70.0,41.0
33,2.0,4.0,30.0,12.0,42.0
34,8.0,9.0,80.0,47.0,43.0
35,15.0,24.0,77.0,71.0,44.0
36,12.0,31.0,65.0,80.0,45.0
37,9.0,22.0,112.0,83.0,46.0
38,13.0,22.0,100.0,63.0,47.0
39,21.0,17.0,79.0,62.0,48.0
40,8.0,20.0,122.0,72.0,49.0
41,16.0,16.0,79.0,72.0,50.0
42,17.0,25.0,66.0,72.0,51.0
43,20.0,23.0,90.0,95.0,52.0
44,18.0,24.0,65.0,83.0,53.0
45,14.0,17.0,98.0,72.0,54.0
46,13.0,18.0,94.0,65.0,55.0
47,8.0,3.0,28.0,34.0,56.0
48,9.0,17.0,78.0,73.0,57.0
49,23.0,25.0,76.0,79.0,58.0
50,28.0,32.0,81.0,72.0,59.0
51,7.0,11.0,104.0,59.0,60.0
