,DEL,INS,OK,SUB,page_num
0,7.0,13.0,70.0,42.0,9.0
1,4.0,18.0,76.0,54.0,10.0
2,13.0,40.0,86.0,74.0,11.0
3,3.0,14.0,89.0,65.0,12.0
4,1.0,18.0,100.0,61.0,13.0
5,6.0,19.0,88.0,83.0,14.0
6,11.0,11.0,99.0,78.0,15.0
7,11.0,24.0,66.0,59.0,16.0
8,7.0,8.0,110.0,72.0,17.0
9,14.0,23.0,62.0,53.0,18.0
10,4.0,15.0,55.0,53.0,19.0
11,21.0,35.0,75.0,38.0,20.0
12,17.0,22.0,90.0,63.0,21.0
13,13.0,25.0,79.0,74.0,22.0
14,11.0,17.0,110.0,76.0,23.0
15,9.0,17.0,94.0,59.0,24.0
16,10.0,11.0,83.0,70.0,25.0
17,11.0,13.0,96.0,74.0,26.0
18,10.0,15.0,92.0,80.0,27.0
19,20.0,23.0,96.0,81.0,28.0
20,13.0,20.0,88.0,80.0,29.0
21,14.0,35.0,51.0,102.0,30.0
22,3.0,19.0,82.0,91.0,31.0
23,6.0,16.0,95.0,85.0,32.0
24,7.0,24.0,84.0,78.0,33.0
25,9.0,21.0,98.0,74.0,34.0
26,6.0,26.0,84.0,91.0,35.0
27,16.0,24.0,65.0,79.0,36.0
28,5.0,21.0,58.0,75.0,37.0
29,5.0,15.0,98.0,72.0,38.0
30,6.0,13.0,93.0,61.0,39.0
31,11.0,21.0,95.0,90.0,40.0
32,8.0,9.0,122.0,76.0,41.0
33,2.0,5.0,32.0,10.0,42.0
34,3.0,18.0,77.0,55.0,43.0
35,5.0,14.0,88.0,70.0,44.0
36,4.0,35.0,65.0,88.0,45.0
37,9.0,16.0,107.0,88.0,46.0
38,3.0,8.0,104.0,69.0,47.0
39,12.0,16.0,92.0,58.0,48.0
40,9.0,15.0,113.0,80.0,49.0
41,5.0,18.0,85.0,77.0,50.0
42,7.0,20.0,84.0,64.0,51.0
43,19.0,15.0,98.0,88.0,52.0
44,10.0,27.0,79.0,77.0,53.0
45,9.0,32.0,109.0,66.0,54.0
46,8.0,17.0,96.0,68.0,55.0
47,1.0,5.0,37.0,32.0,56.0
48,3.0,20.0,88.0,69.0,57.0
49,17.0,33.0,88.0,73.0,58.0
50,25.0,41.0,83.0,73.0,59.0
51,9.0,12.0,106.0,55.0,60.0
52,5.0,43.0,84.0,79.0,61.0
53,19.0,30.0,70.0,67.0,62.0
54,14.0,24.0,77.0,79.0,63.0
55,7.0,18.0,85.0,83.0,64.0
56,6.0,12.0,92.0,81.0,65.0
57,14.0,30.0,75.0,71.0,66.0
58,12.0,19.0,84.0,71.0,67.0
59,16.0,26.0,65.0,52.0,68.0
60,3.0,11.0,54.0,43.0,69.0
61,8.0,19.0,72.0,65.0,70.0
62,2.0,10.0,109.0,61.0,71.0
63,10.0,25.0,71.0,68.0,72.0
64,2.0,16.0,82.0,80.0,73.0
65,4.0,19.0,98.0,69.0,74.0
66,14.0,28.0,79.0,75.0,75.0
67,26.0,48.0,72.0,79.0,76.0
68,1.0,19.0,100.0,75.0,77.0
69,10.0,20.0,70.0,90.0,78.0
70,6.0,9.0,59.0,62.0,79.0
71,7.0,13.0,60.0,84.0,80.0
72,8.0,34.0,68.0,106.0,81.0
73,7.0,12.0,106.0,84.0,82.0
74,9.0,16.0,108.0,77.0,83.0
75,2.0,12.0,118.0,75.0,84.0
76,10.0,18.0,78.0,71.0,85.0
77,8.0,18.0,97.0,52.0,86.0
78,3.0,17.0,109.0,69.0,87.0
