,DEL,INS,OK,SUB,page_num
0,7.0,8.0,70.0,42.0,9.0
1,4.0,7.0,77.0,53.0,10.0
2,14.0,23.0,87.0,72.0,11.0
3,3.0,10.0,89.0,65.0,12.0
4,1.0,9.0,100.0,61.0,13.0
5,6.0,13.0,88.0,83.0,14.0
6,11.0,9.0,100.0,77.0,15.0
7,13.0,14.0,67.0,56.0,16.0
8,8.0,3.0,110.0,71.0,17.0
9,14.0,11.0,62.0,53.0,18.0
10,4.0,9.0,56.0,52.0,19.0
11,21.0,26.0,75.0,38.0,20.0
12,17.0,14.0,93.0,60.0,21.0
13,15.0,15.0,79.0,72.0,22.0
14,11.0,12.0,113.0,73.0,23.0
15,9.0,13.0,94.0,59.0,24.0
16,10.0,6.0,83.0,70.0,25.0
17,11.0,9.0,97.0,73.0,26.0
18,10.0,12.0,93.0,79.0,27.0
19,20.0,20.0,97.0,80.0,28.0
20,15.0,16.0,88.0,78.0,29.0
21,14.0,29.0,51.0,102.0,30.0
22,3.0,14.0,82.0,91.0,31.0
23,6.0,12.0,95.0,85.0,32.0
24,7.0,18.0,84.0,78.0,33.0
25,10.0,13.0,99.0,72.0,34.0
26,6.0,18.0,84.0,91.0,35.0
27,16.0,15.0,66.0,78.0,36.0
28,7.0,9.0,58.0,73.0,37.0
29,6.0,12.0,98.0,71.0,38.0
30,6.0,3.0,94.0,60.0,39.0
31,11.0,17.0,95.0,90.0,40.0
32,8.0,7.0,123.0,75.0,41.0
33,2.0,3.0,32.0,10.0,42.0
34,3.0,11.0,79.0,53.0,43.0
35,5.0,11.0,88.0,70.0,44.0
36,4.0,29.0,65.0,88.0,45.0
37,9.0,11.0,107.0,88.0,46.0
38,5.0,6.0,104.0,67.0,47.0
39,12.0,6.0,93.0,57.0,48.0
40,9.0,10.0,113.0,80.0,49.0
41,5.0,12.0,86.0,76.0,50.0
42,7.0,9.0,84.0,64.0,51.0
43,19.0,9.0,99.0,87.0,52.0
44,11.0,19.0,79.0,76.0,53.0
45,9.0,21.0,110.0,65.0,54.0
46,8.0,12.0,97.0,67.0,55.0
47,1.0,3.0,37.0,32.0,56.0
48,4.0,12.0,89.0,67.0,57.0
49,17.0,21.0,90.0,71.0,58.0
50,25.0,31.0,83.0,73.0,59.0
51,11.0,8.0,106.0,53.0,60.0
52,5.0,29.0,84.0,79.0,61.0
53,19.0,21.0,70.0,67.0,62.0
54,14.0,16.0,78.0,78.0,63.0
55,7.0,12.0,86.0,82.0,64.0
56,6.0,9.0,92.0,81.0,65.0
