,DEL,INS,OK,SUB,page_num
0,12.0,7.0,76.0,31.0,9.0
1,7.0,7.0,87.0,40.0,10.0
2,23.0,20.0,85.0,65.0,11.0
3,7.0,13.0,97.0,53.0,12.0
4,8.0,15.0,102.0,52.0,13.0
5,23.0,17.0,89.0,65.0,14.0
6,18.0,7.0,105.0,65.0,15.0
7,15.0,15.0,67.0,54.0,16.0
8,15.0,8.0,104.0,70.0,17.0
9,26.0,16.0,48.0,55.0,18.0
10,15.0,8.0,46.0,51.0,19.0
11,24.0,24.0,78.0,32.0,20.0
12,23.0,16.0,102.0,45.0,21.0
13,26.0,15.0,91.0,49.0,22.0
14,19.0,13.0,111.0,67.0,23.0
15,18.0,11.0,90.0,54.0,24.0
16,13.0,13.0,82.0,68.0,25.0
17,17.0,12.0,90.0,74.0,26.0
18,18.0,13.0,98.0,66.0,27.0
19,32.0,17.0,90.0,75.0,28.0
20,28.0,11.0,80.0,73.0,29.0
21,33.0,20.0,42.0,92.0,30.0
22,10.0,10.0,90.0,76.0,31.0
23,19.0,14.0,86.0,81.0,32.0
24,18.0,25.0,65.0,86.0,33.0
25,19.0,17.0,93.0,69.0,34.0
26,29.0,14.0,81.0,71.0,35.0
27,22.0,22.0,76.0,62.0,36.0
28,16.0,12.0,55.0,67.0,37.0
29,12.0,11.0,91.0,72.0,38.0
30,8.0,12.0,101.0,51.0,39.0
31,27.0,20.0,87.0,82.0,40.0
32,18.0,18.0,114.0,74.0,41.0
33,0.0,5.0,31.0,13.0,42.0
34,5.0,12.0,82.0,48.0,43.0
35,18.0,16.0,75.0,70.0,44.0
36,16.0,25.0,56.0,85.0,45.0
37,23.0,13.0,113.0,68.0,46.0
38,15.0,10.0,104.0,57.0,47.0
39,21.0,8.0,78.0,63.0,48.0
40,11.0,13.0,117.0,74.0,49.0
41,12.0,8.0,91.0,64.0,50.0
42,21.0,12.0,74.0,60.0,51.0
43,26.0,11.0,93.0,86.0,52.0
44,20.0,16.0,74.0,72.0,53.0
45,8.0,14.0,112.0,64.0,54.0
46,15.0,17.0,100.0,57.0,55.0
