,DEL,INS,OK,SUB,page_num
0,12.0,5.0,77.0,30.0,9.0
1,5.0,10.0,91.0,38.0,10.0
2,19.0,27.0,82.0,72.0,11.0
3,5.0,13.0,102.0,50.0,12.0
4,5.0,23.0,102.0,55.0,13.0
5,20.0,19.0,91.0,66.0,14.0
6,14.0,6.0,112.0,62.0,15.0
7,12.0,24.0,78.0,46.0,16.0
8,15.0,8.0,108.0,66.0,17.0
9,17.0,15.0,54.0,58.0,18.0
10,11.0,8.0,54.0,47.0,19.0
11,26.0,24.0,79.0,29.0,20.0
12,21.0,19.0,108.0,41.0,21.0
13,27.0,17.0,93.0,46.0,22.0
14,18.0,13.0,118.0,61.0,23.0
15,11.0,12.0,98.0,53.0,24.0
16,14.0,12.0,87.0,62.0,25.0
17,16.0,14.0,90.0,75.0,26.0
18,18.0,14.0,99.0,65.0,27.0
19,29.0,17.0,93.0,75.0,28.0
20,25.0,14.0,81.0,75.0,29.0
