,DEL,INS,OK,SUB,page_num
0,7.0,8.0,77.0,35.0,9.0
1,4.0,7.0,91.0,39.0,10.0
2,14.0,23.0,94.0,65.0,11.0
3,3.0,10.0,94.0,60.0,12.0
4,1.0,9.0,110.0,51.0,13.0
5,8.0,15.0,92.0,77.0,14.0
6,11.0,9.0,105.0,72.0,15.0
7,12.0,14.0,65.0,59.0,16.0
8,7.0,3.0,122.0,60.0,17.0
9,14.0,11.0,63.0,52.0,18.0
10,4.0,9.0,60.0,48.0,19.0
11,21.0,26.0,82.0,31.0,20.0
12,17.0,14.0,104.0,49.0,21.0
13,15.0,15.0,88.0,63.0,22.0
14,10.0,12.0,125.0,62.0,23.0
15,8.0,12.0,98.0,56.0,24.0
16,11.0,7.0,88.0,64.0,25.0
17,11.0,9.0,100.0,70.0,26.0
18,10.0,12.0,104.0,68.0,27.0
19,20.0,20.0,97.0,80.0,28.0
20,14.0,14.0,93.0,74.0,29.0
21,13.0,29.0,56.0,98.0,30.0
22,4.0,15.0,98.0,74.0,31.0
23,5.0,10.0,100.0,81.0,32.0
24,7.0,18.0,86.0,76.0,33.0
25,9.0,12.0,100.0,72.0,34.0
26,6.0,18.0,98.0,77.0,35.0
27,15.0,15.0,74.0,71.0,36.0
28,7.0,9.0,64.0,67.0,37.0
29,7.0,13.0,102.0,66.0,38.0
30,6.0,3.0,98.0,56.0,39.0
31,11.0,17.0,96.0,89.0,40.0
32,8.0,7.0,127.0,71.0,41.0
33,2.0,3.0,30.0,12.0,42.0
34,3.0,11.0,84.0,48.0,43.0
35,5.0,11.0,87.0,71.0,44.0
36,4.0,29.0,70.0,83.0,45.0
37,9.0,11.0,129.0,66.0,46.0
38,5.0,6.0,110.0,61.0,47.0
39,10.0,5.0,101.0,51.0,48.0
40,10.0,10.0,121.0,71.0,49.0
41,5.0,13.0,101.0,61.0,50.0
42,7.0,9.0,84.0,64.0,51.0
43,19.0,9.0,106.0,80.0,52.0
44,12.0,20.0,88.0,66.0,53.0
45,8.0,20.0,115.0,61.0,54.0
46,9.0,13.0,106.0,57.0,55.0
47,1.0,3.0,40.0,29.0,56.0
48,4.0,11.0,93.0,63.0,57.0
49,17.0,21.0,104.0,57.0,58.0
50,24.0,31.0,90.0,67.0,59.0
51,10.0,8.0,110.0,50.0,60.0
52,5.0,29.0,82.0,81.0,61.0
53,19.0,21.0,71.0,66.0,62.0
54,14.0,16.0,84.0,72.0,63.0
55,7.0,12.0,103.0,65.0,64.0
56,6.0,9.0,99.0,74.0,65.0
57,14.0,22.0,81.0,65.0,66.0
58,12.0,17.0,87.0,68.0,67.0
