,DEL,INS,OK,SUB,page_num
0,11.0,7.0,74.0,34.0,9.0
1,8.0,7.0,82.0,44.0,10.0
2,24.0,24.0,75.0,74.0,11.0
3,7.0,18.0,89.0,61.0,12.0
4,8.0,16.0,98.0,56.0,13.0
5,20.0,25.0,83.0,74.0,14.0
6,17.0,11.0,97.0,74.0,15.0
7,16.0,13.0,63.0,57.0,16.0
8,13.0,4.0,99.0,77.0,17.0
9,27.0,17.0,47.0,55.0,18.0
10,15.0,7.0,46.0,51.0,19.0
11,25.0,27.0,69.0,40.0,20.0
12,24.0,15.0,99.0,47.0,21.0
13,27.0,16.0,89.0,50.0,22.0
14,19.0,17.0,107.0,71.0,23.0
15,21.0,13.0,83.0,58.0,24.0
16,14.0,16.0,82.0,67.0,25.0
17,18.0,16.0,87.0,76.0,26.0
18,17.0,13.0,89.0,76.0,27.0
19,28.0,18.0,86.0,83.0,28.0
20,30.0,18.0,80.0,71.0,29.0
21,34.0,22.0,41.0,92.0,30.0
22,15.0,12.0,89.0,72.0,31.0
23,17.0,14.0,84.0,85.0,32.0
24,18.0,26.0,60.0,91.0,33.0
25,23.0,15.0,86.0,72.0,34.0
26,25.0,13.0,79.0,77.0,35.0
27,21.0,25.0,72.0,67.0,36.0
28,18.0,12.0,50.0,70.0,37.0
29,13.0,14.0,85.0,77.0,38.0
30,11.0,11.0,90.0,59.0,39.0
31,33.0,20.0,77.0,86.0,40.0
32,19.0,18.0,114.0,73.0,41.0
33,1.0,5.0,30.0,13.0,42.0
34,4.0,14.0,80.0,51.0,43.0
35,16.0,20.0,73.0,74.0,44.0
36,19.0,23.0,48.0,90.0,45.0
37,24.0,14.0,108.0,72.0,46.0
38,17.0,10.0,98.0,61.0,47.0
39,22.0,9.0,73.0,67.0,48.0
40,11.0,17.0,115.0,76.0,49.0
41,14.0,12.0,82.0,71.0,50.0
42,19.0,13.0,67.0,69.0,51.0
43,27.0,12.0,92.0,86.0,52.0
44,21.0,23.0,64.0,81.0,53.0
45,9.0,16.0,105.0,70.0,54.0
46,17.0,18.0,91.0,64.0,55.0
47,10.0,7.0,26.0,34.0,56.0
48,10.0,8.0,77.0,73.0,57.0
49,28.0,21.0,79.0,71.0,58.0
50,30.0,30.0,76.0,75.0,59.0
51,12.0,12.0,101.0,57.0,60.0
52,18.0,20.0,74.0,76.0,61.0
53,22.0,18.0,59.0,75.0,62.0
54,24.0,23.0,80.0,66.0,63.0
55,16.0,16.0,97.0,62.0,64.0
56,18.0,14.0,90.0,71.0,65.0
57,24.0,18.0,73.0,63.0,66.0
58,24.0,22.0,73.0,70.0,67.0
59,16.0,22.0,58.0,59.0,68.0
60,6.0,10.0,52.0,42.0,69.0
61,24.0,14.0,65.0,56.0,70.0
62,11.0,15.0,100.0,61.0,71.0
63,19.0,19.0,58.0,72.0,72.0
64,11.0,13.0,73.0,80.0,73.0
65,17.0,15.0,87.0,67.0,74.0
66,15.0,13.0,85.0,68.0,75.0
67,34.0,32.0,65.0,78.0,76.0
68,12.0,13.0,87.0,77.0,77.0
69,26.0,11.0,57.0,87.0,78.0
70,13.0,12.0,61.0,53.0,79.0
71,16.0,20.0,61.0,74.0,80.0
72,22.0,28.0,63.0,97.0,81.0
73,15.0,16.0,104.0,78.0,82.0
74,23.0,19.0,101.0,70.0,83.0
75,10.0,10.0,112.0,73.0,84.0
76,16.0,16.0,68.0,75.0,85.0
77,18.0,18.0,88.0,51.0,86.0
78,16.0,10.0,106.0,59.0,87.0
79,17.0,9.0,82.0,81.0,88.0
80,16.0,14.0,90.0,77.0,89.0
81,20.0,4.0,83.0,61.0,90.0
82,10.0,10.0,62.0,51.0,91.0
83,12.0,10.0,76.0,54.0,92.0
84,20.0,15.0,73.0,76.0,93.0
85,9.0,23.0,55.0,92.0,94.0
86,12.0,16.0,69.0,96.0,95.0
87,11.0,12.0,92.0,52.0,96.0
