,DEL,INS,OK,SUB,page_num
0,10.0,4.0,75.0,34.0,9.0
1,6.0,11.0,87.0,41.0,10.0
2,19.0,28.0,74.0,80.0,11.0
3,7.0,18.0,94.0,56.0,12.0
4,5.0,20.0,100.0,57.0,13.0
5,19.0,20.0,85.0,73.0,14.0
6,14.0,9.0,106.0,68.0,15.0
7,11.0,20.0,73.0,52.0,16.0
8,12.0,8.0,102.0,75.0,17.0
9,18.0,17.0,54.0,57.0,18.0
10,13.0,8.0,50.0,49.0,19.0
11,26.0,28.0,71.0,37.0,20.0
12,20.0,18.0,102.0,48.0,21.0
13,25.0,19.0,92.0,49.0,22.0
14,18.0,14.0,115.0,64.0,23.0
15,12.0,11.0,90.0,60.0,24.0
16,14.0,13.0,83.0,66.0,25.0
17,16.0,16.0,88.0,77.0,26.0
18,16.0,17.0,93.0,73.0,27.0
19,25.0,18.0,91.0,81.0,28.0
20,23.0,19.0,84.0,74.0,29.0
