,DEL,INS,OK,SUB,page_num
0,12.0,9.0,70.0,37.0,9.0
1,7.0,9.0,86.0,41.0,10.0
2,21.0,29.0,82.0,70.0,11.0
3,8.0,15.0,103.0,46.0,12.0
4,2.0,15.0,104.0,56.0,13.0
5,12.0,12.0,89.0,76.0,14.0
6,20.0,7.0,104.0,64.0,15.0
7,17.0,21.0,66.0,53.0,16.0
8,9.0,7.0,114.0,66.0,17.0
9,24.0,14.0,50.0,55.0,18.0
10,14.0,3.0,51.0,47.0,19.0
11,24.0,28.0,76.0,34.0,20.0
12,21.0,13.0,102.0,47.0,21.0
13,20.0,9.0,93.0,53.0,22.0
14,21.0,14.0,106.0,70.0,23.0
15,10.0,12.0,100.0,52.0,24.0
16,15.0,14.0,79.0,69.0,25.0
17,15.0,19.0,95.0,71.0,26.0
18,16.0,12.0,101.0,65.0,27.0
19,25.0,14.0,87.0,85.0,28.0
20,27.0,11.0,79.0,75.0,29.0
21,35.0,28.0,41.0,91.0,30.0
22,11.0,14.0,89.0,76.0,31.0
23,15.0,11.0,78.0,93.0,32.0
24,19.0,24.0,69.0,81.0,33.0
25,21.0,13.0,98.0,62.0,34.0
26,22.0,13.0,85.0,74.0,35.0
27,16.0,19.0,71.0,73.0,36.0
28,14.0,10.0,61.0,63.0,37.0
29,13.0,15.0,93.0,69.0,38.0
30,9.0,12.0,91.0,60.0,39.0
31,22.0,23.0,78.0,96.0,40.0
32,13.0,8.0,127.0,66.0,41.0
33,0.0,4.0,37.0,7.0,42.0
34,7.0,10.0,80.0,48.0,43.0
35,13.0,18.0,77.0,73.0,44.0
36,14.0,24.0,66.0,77.0,45.0
37,20.0,16.0,109.0,75.0,46.0
38,10.0,10.0,102.0,64.0,47.0
39,18.0,12.0,82.0,62.0,48.0
40,12.0,15.0,119.0,71.0,49.0
41,15.0,9.0,84.0,68.0,50.0
42,14.0,13.0,74.0,67.0,51.0
43,21.0,14.0,99.0,85.0,52.0
44,18.0,23.0,75.0,73.0,53.0
45,10.0,19.0,107.0,67.0,54.0
46,17.0,14.0,94.0,61.0,55.0
47,8.0,5.0,34.0,28.0,56.0
48,10.0,16.0,91.0,59.0,57.0
49,26.0,20.0,86.0,66.0,58.0
50,35.0,32.0,67.0,79.0,59.0
51,9.0,9.0,106.0,55.0,60.0
52,17.0,19.0,82.0,69.0,61.0
53,20.0,20.0,68.0,68.0,62.0
54,17.0,20.0,88.0,65.0,63.0
55,12.0,16.0,106.0,57.0,64.0
56,14.0,14.0,91.0,74.0,65.0
57,18.0,15.0,82.0,60.0,66.0
58,22.0,15.0,79.0,66.0,67.0
59,16.0,19.0,77.0,40.0,68.0
60,7.0,11.0,52.0,41.0,69.0
61,12.0,15.0,78.0,55.0,70.0
62,13.0,9.0,103.0,56.0,71.0
63,17.0,19.0,57.0,75.0,72.0
64,10.0,12.0,88.0,66.0,73.0
65,11.0,11.0,92.0,68.0,74.0
66,14.0,14.0,93.0,61.0,75.0
67,30.0,26.0,72.0,75.0,76.0
68,13.0,15.0,80.0,83.0,77.0
69,19.0,14.0,65.0,86.0,78.0
70,12.0,10.0,67.0,48.0,79.0
71,14.0,19.0,57.0,80.0,80.0
72,20.0,23.0,65.0,97.0,81.0
73,13.0,19.0,109.0,75.0,82.0
74,22.0,12.0,108.0,64.0,83.0
75,10.0,6.0,116.0,69.0,84.0
76,16.0,9.0,77.0,66.0,85.0
77,21.0,11.0,84.0,52.0,86.0
78,16.0,13.0,108.0,57.0,87.0
79,15.0,14.0,93.0,72.0,88.0
80,8.0,10.0,106.0,69.0,89.0
81,18.0,2.0,81.0,65.0,90.0
82,12.0,11.0,68.0,43.0,91.0
83,9.0,8.0,84.0,49.0,92.0
84,17.0,15.0,78.0,74.0,93.0
85,6.0,19.0,63.0,87.0,94.0
86,15.0,16.0,79.0,83.0,95.0
87,5.0,16.0,103.0,47.0,96.0
88,10.0,17.0,101.0,61.0,97.0
89,18.0,14.0,94.0,80.0,98.0
90,25.0,9.0,90.0,88.0,99.0
91,1.0,1.0,32.0,19.0,100.0
92,13.0,20.0,64.0,57.0,101.0
93,13.0,13.0,76.0,85.0,102.0
94,13.0,19.0,86.0,68.0,103.0
95,20.0,13.0,92.0,69.0,104.0
96,11.0,20.0,100.0,65.0,105.0
97,19.0,17.0,102.0,60.0,106.0
98,24.0,19.0,106.0,67.0,107.0
99,11.0,10.0,91.0,64.0,108.0
100,17.0,14.0,77.0,74.0,109.0
101,15.0,14.0,96.0,65.0,110.0
102,13.0,20.0,127.0,71.0,111.0
103,17.0,20.0,104.0,67.0,112.0
104,8.0,9.0,94.0,58.0,113.0
105,19.0,13.0,93.0,52.0,114.0
106,20.0,18.0,92.0,59.0,115.0
107,24.0,16.0,101.0,68.0,116.0
108,11.0,8.0,95.0,55.0,117.0
109,7.0,11.0,79.0,49.0,118.0
110,16.0,18.0,87.0,73.0,119.0
111,19.0,12.0,106.0,65.0,120.0
112,13.0,12.0,96.0,61.0,121.0
113,10.0,10.0,86.0,67.0,122.0
114,13.0,12.0,81.0,70.0,123.0
115,17.0,10.0,79.0,72.0,124.0
116,9.0,5.0,66.0,43.0,125.0
117,7.0,8.0,94.0,63.0,126.0
118,10.0,15.0,65.0,59.0,127.0
119,16.0,19.0,93.0,66.0,128.0
120,12.0,11.0,94.0,63.0,129.0
121,17.0,14.0,90.0,54.0,130.0
122,10.0,12.0,88.0,64.0,131.0
123,12.0,4.0,76.0,51.0,132.0
124,18.0,13.0,59.0,78.0,133.0
125,23.0,20.0,77.0,62.0,134.0
126,25.0,26.0,93.0,64.0,135.0
127,13.0,12.0,71.0,60.0,136.0
128,19.0,11.0,92.0,58.0,137.0
129,23.0,17.0,90.0,69.0,138.0
