,DEL,INS,OK,SUB,page_num
0,11.0,9.0,70.0,38.0,9.0
1,8.0,10.0,82.0,44.0,10.0
2,23.0,33.0,73.0,77.0,11.0
3,8.0,17.0,95.0,54.0,12.0
4,4.0,16.0,94.0,64.0,13.0
5,17.0,16.0,86.0,74.0,14.0
6,16.0,7.0,101.0,71.0,15.0
7,16.0,22.0,65.0,55.0,16.0
8,13.0,9.0,98.0,78.0,17.0
9,25.0,12.0,51.0,53.0,18.0
10,14.0,4.0,50.0,48.0,19.0
11,21.0,30.0,72.0,41.0,20.0
12,21.0,15.0,98.0,51.0,21.0
13,19.0,13.0,90.0,57.0,22.0
14,24.0,17.0,103.0,70.0,23.0
15,12.0,13.0,91.0,59.0,24.0
16,16.0,19.0,75.0,72.0,25.0
17,14.0,18.0,92.0,75.0,26.0
18,14.0,15.0,99.0,69.0,27.0
19,26.0,20.0,83.0,88.0,28.0
20,25.0,13.0,79.0,77.0,29.0
