,DEL,INS,OK,SUB,page_num
0,11.0,9.0,70.0,38.0,9.0
1,5.0,11.0,88.0,41.0,10.0
2,23.0,31.0,73.0,77.0,11.0
3,7.0,13.0,97.0,53.0,12.0
4,3.0,18.0,102.0,57.0,13.0
5,14.0,15.0,93.0,70.0,14.0
6,10.0,7.0,110.0,68.0,15.0
7,14.0,19.0,68.0,54.0,16.0
8,8.0,9.0,107.0,74.0,17.0
9,18.0,19.0,54.0,57.0,18.0
10,12.0,6.0,54.0,46.0,19.0
11,21.0,31.0,74.0,39.0,20.0
12,18.0,16.0,101.0,51.0,21.0
13,17.0,12.0,91.0,58.0,22.0
14,20.0,16.0,115.0,62.0,23.0
15,11.0,15.0,92.0,59.0,24.0
16,13.0,14.0,83.0,67.0,25.0
17,13.0,12.0,96.0,72.0,26.0
18,9.0,17.0,105.0,68.0,27.0
19,24.0,18.0,86.0,87.0,28.0
20,19.0,18.0,83.0,79.0,29.0
