,DEL,INS,OK,SUB,page_num
0,7.0,8.0,78.0,34.0,9.0
1,4.0,7.0,90.0,40.0,10.0
2,14.0,23.0,85.0,74.0,11.0
3,3.0,10.0,99.0,55.0,12.0
4,1.0,9.0,112.0,49.0,13.0
5,7.0,15.0,100.0,70.0,14.0
6,11.0,9.0,107.0,70.0,15.0
7,11.0,13.0,74.0,51.0,16.0
8,8.0,4.0,113.0,68.0,17.0
9,14.0,11.0,65.0,50.0,18.0
10,4.0,9.0,60.0,48.0,19.0
11,21.0,26.0,79.0,34.0,20.0
12,17.0,14.0,108.0,45.0,21.0
13,15.0,15.0,91.0,60.0,22.0
14,10.0,12.0,122.0,65.0,23.0
15,8.0,12.0,95.0,59.0,24.0
16,11.0,8.0,89.0,63.0,25.0
17,11.0,9.0,104.0,66.0,26.0
18,11.0,13.0,103.0,68.0,27.0
19,19.0,20.0,100.0,78.0,28.0
20,13.0,14.0,99.0,69.0,29.0
