,DEL,INS,OK,SUB,page_num
0,9.0,28.0,110.0,58.0,7.0
1,14.0,41.0,155.0,54.0,8.0
2,14.0,48.0,146.0,74.0,9.0
3,12.0,35.0,148.0,84.0,10.0
4,14.0,32.0,169.0,69.0,11.0
5,9.0,42.0,141.0,76.0,12.0
6,5.0,24.0,179.0,49.0,13.0
7,12.0,46.0,117.0,97.0,14.0
8,10.0,41.0,139.0,85.0,15.0
9,10.0,40.0,159.0,82.0,16.0
10,3.0,4.0,62.0,13.0,17.0
11,14.0,15.0,120.0,52.0,18.0
12,2.0,4.0,76.0,30.0,19.0
13,12.0,6.0,140.0,43.0,20.0
14,5.0,11.0,99.0,26.0,21.0
15,9.0,10.0,151.0,32.0,22.0
16,10.0,14.0,187.0,52.0,23.0
17,7.0,17.0,201.0,52.0,24.0
18,8.0,15.0,180.0,63.0,25.0
19,8.0,10.0,157.0,32.0,26.0
20,10.0,14.0,194.0,54.0,27.0
21,8.0,7.0,206.0,46.0,28.0
22,4.0,3.0,76.0,16.0,29.0
23,14.0,11.0,141.0,45.0,30.0
24,20.0,30.0,135.0,95.0,31.0
25,14.0,24.0,188.0,61.0,32.0
26,13.0,25.0,151.0,72.0,33.0
27,20.0,30.0,125.0,91.0,34.0
28,14.0,22.0,165.0,70.0,35.0
29,10.0,18.0,136.0,55.0,36.0
30,19.0,14.0,180.0,48.0,37.0
31,7.0,17.0,162.0,71.0,38.0
32,14.0,29.0,121.0,110.0,39.0
33,13.0,41.0,132.0,90.0,40.0
34,26.0,49.0,106.0,116.0,41.0
35,16.0,47.0,157.0,95.0,42.0
36,21.0,56.0,109.0,116.0,43.0
37,19.0,52.0,125.0,83.0,44.0
38,3.0,37.0,112.0,84.0,45.0
39,19.0,52.0,130.0,99.0,46.0
40,16.0,60.0,124.0,113.0,47.0
41,20.0,53.0,136.0,94.0,48.0
42,11.0,23.0,103.0,79.0,49.0
43,16.0,45.0,153.0,101.0,50.0
44,4.0,29.0,159.0,81.0,51.0
45,14.0,37.0,145.0,91.0,52.0
46,13.0,56.0,133.0,105.0,53.0
47,14.0,44.0,153.0,83.0,54.0
48,8.0,41.0,140.0,85.0,55.0
49,6.0,22.0,69.0,48.0,56.0
50,14.0,32.0,88.0,103.0,57.0
51,18.0,32.0,161.0,79.0,58.0
52,18.0,35.0,148.0,95.0,59.0
53,7.0,26.0,192.0,61.0,60.0
54,20.0,42.0,140.0,106.0,61.0
55,12.0,32.0,154.0,96.0,62.0
56,24.0,58.0,123.0,94.0,63.0
57,15.0,48.0,115.0,109.0,64.0
58,19.0,71.0,105.0,109.0,65.0
59,3.0,15.0,55.0,51.0,66.0
60,13.0,34.0,100.0,90.0,67.0
61,14.0,34.0,134.0,103.0,68.0
62,22.0,30.0,125.0,88.0,69.0
63,23.0,50.0,119.0,78.0,70.0
64,8.0,27.0,128.0,65.0,71.0
65,15.0,42.0,111.0,78.0,72.0
66,23.0,38.0,112.0,103.0,73.0
67,12.0,39.0,111.0,84.0,74.0
68,9.0,41.0,144.0,87.0,75.0
69,17.0,53.0,113.0,117.0,76.0
70,11.0,46.0,117.0,99.0,77.0
71,16.0,43.0,120.0,81.0,78.0
72,16.0,45.0,138.0,96.0,79.0
73,19.0,43.0,132.0,95.0,80.0
74,11.0,22.0,165.0,79.0,81.0
75,28.0,52.0,163.0,66.0,82.0
76,9.0,41.0,164.0,84.0,83.0
77,11.0,17.0,50.0,25.0,84.0
78,11.0,24.0,171.0,71.0,86.0
79,16.0,15.0,163.0,65.0,87.0
80,12.0,21.0,166.0,67.0,88.0
81,9.0,10.0,147.0,52.0,89.0
82,16.0,15.0,181.0,70.0,90.0
83,12.0,10.0,187.0,50.0,91.0
84,13.0,43.0,152.0,97.0,92.0
85,19.0,17.0,200.0,44.0,93.0
86,19.0,21.0,177.0,64.0,94.0
87,13.0,9.0,179.0,73.0,95.0
88,7.0,12.0,183.0,57.0,96.0
89,10.0,14.0,178.0,67.0,97.0
90,20.0,33.0,106.0,129.0,98.0
91,5.0,11.0,78.0,47.0,99.0
92,11.0,17.0,125.0,58.0,100.0
93,16.0,22.0,154.0,75.0,101.0
94,26.0,24.0,140.0,87.0,102.0
95,26.0,27.0,136.0,84.0,103.0
96,11.0,23.0,175.0,71.0,104.0
97,15.0,16.0,171.0,64.0,105.0
98,25.0,35.0,139.0,86.0,106.0
99,3.0,9.0,42.0,20.0,107.0
100,17.0,10.0,168.0,43.0,108.0
101,18.0,18.0,183.0,63.0,109.0
102,13.0,46.0,135.0,110.0,110.0
103,13.0,21.0,151.0,89.0,111.0
104,9.0,22.0,157.0,71.0,112.0
105,10.0,10.0,158.0,69.0,113.0
106,30.0,24.0,150.0,80.0,114.0
107,20.0,27.0,130.0,101.0,115.0
108,20.0,12.0,149.0,75.0,116.0
109,13.0,9.0,112.0,52.0,117.0
110,18.0,15.0,126.0,83.0,118.0
111,11.0,12.0,154.0,58.0,119.0
112,32.0,27.0,145.0,78.0,120.0
113,11.0,18.0,154.0,79.0,121.0
114,3.0,9.0,117.0,46.0,122.0
115,10.0,19.0,136.0,70.0,123.0
116,18.0,20.0,134.0,82.0,124.0
117,16.0,16.0,166.0,59.0,125.0
118,13.0,26.0,134.0,90.0,126.0
119,14.0,16.0,132.0,73.0,127.0
120,17.0,16.0,132.0,58.0,128.0
121,6.0,19.0,200.0,59.0,129.0
122,15.0,21.0,172.0,78.0,130.0
123,11.0,22.0,151.0,84.0,131.0
124,15.0,24.0,159.0,81.0,132.0
125,13.0,42.0,164.0,78.0,133.0
126,18.0,23.0,157.0,61.0,134.0
127,20.0,16.0,135.0,83.0,135.0
128,10.0,13.0,49.0,29.0,136.0
129,11.0,18.0,124.0,68.0,137.0
130,15.0,15.0,174.0,66.0,138.0
131,16.0,19.0,153.0,77.0,139.0
132,17.0,17.0,149.0,68.0,140.0
133,51.0,18.0,132.0,82.0,141.0
134,12.0,18.0,137.0,88.0,142.0
135,11.0,10.0,99.0,47.0,143.0
136,13.0,18.0,133.0,63.0,144.0
137,16.0,19.0,166.0,73.0,145.0
138,12.0,20.0,165.0,64.0,146.0
139,7.0,8.0,191.0,52.0,147.0
140,11.0,13.0,176.0,61.0,148.0
141,7.0,44.0,135.0,86.0,149.0
142,4.0,11.0,47.0,21.0,150.0
143,13.0,16.0,162.0,52.0,151.0
144,10.0,17.0,180.0,50.0,152.0
145,12.0,15.0,187.0,61.0,153.0
146,12.0,14.0,149.0,83.0,154.0
147,18.0,31.0,146.0,82.0,155.0
148,17.0,16.0,145.0,65.0,156.0
149,14.0,13.0,179.0,52.0,157.0
150,13.0,10.0,156.0,41.0,158.0
151,28.0,20.0,147.0,47.0,159.0
152,22.0,18.0,147.0,85.0,160.0
153,19.0,21.0,168.0,51.0,161.0
154,16.0,16.0,171.0,58.0,162.0
155,12.0,13.0,185.0,48.0,163.0
156,11.0,11.0,182.0,52.0,164.0
157,14.0,18.0,155.0,92.0,165.0
158,12.0,13.0,185.0,55.0,166.0
159,13.0,20.0,156.0,54.0,167.0
160,7.0,13.0,144.0,61.0,168.0
