,DEL,INS,OK,SUB,page_num
0,2.0,8.0,122.0,53.0,7.0
1,8.0,19.0,169.0,46.0,8.0
2,10.0,26.0,161.0,63.0,9.0
3,4.0,22.0,176.0,64.0,10.0
4,7.0,21.0,182.0,63.0,11.0
5,3.0,21.0,159.0,64.0,12.0
6,2.0,16.0,182.0,49.0,13.0
7,3.0,19.0,155.0,68.0,14.0
8,0.0,20.0,165.0,69.0,15.0
9,4.0,17.0,184.0,63.0,16.0
10,0.0,2.0,65.0,13.0,17.0
11,3.0,14.0,133.0,50.0,18.0
12,0.0,2.0,88.0,20.0,19.0
13,6.0,2.0,155.0,34.0,20.0
14,3.0,6.0,98.0,29.0,21.0
15,3.0,4.0,154.0,35.0,22.0
16,8.0,7.0,191.0,50.0,23.0
17,2.0,10.0,206.0,52.0,24.0
18,4.0,7.0,189.0,58.0,25.0
19,3.0,5.0,169.0,25.0,26.0
20,4.0,9.0,202.0,52.0,27.0
21,1.0,4.0,212.0,47.0,28.0
22,2.0,2.0,75.0,19.0,29.0
23,3.0,5.0,149.0,48.0,30.0
24,6.0,22.0,165.0,79.0,31.0
25,5.0,17.0,194.0,64.0,32.0
26,7.0,9.0,162.0,67.0,33.0
27,9.0,12.0,141.0,86.0,34.0
28,1.0,11.0,180.0,68.0,35.0
29,8.0,13.0,147.0,46.0,36.0
30,12.0,12.0,178.0,57.0,37.0
31,4.0,9.0,163.0,73.0,38.0
32,7.0,18.0,143.0,95.0,39.0
33,6.0,24.0,144.0,85.0,40.0
34,10.0,43.0,126.0,112.0,41.0
35,12.0,37.0,176.0,80.0,42.0
36,9.0,39.0,136.0,101.0,43.0
37,12.0,28.0,139.0,76.0,44.0
38,3.0,15.0,133.0,63.0,45.0
39,7.0,36.0,145.0,96.0,46.0
40,9.0,36.0,151.0,93.0,47.0
41,18.0,41.0,146.0,86.0,48.0
42,5.0,14.0,121.0,67.0,49.0
43,8.0,28.0,167.0,95.0,50.0
44,2.0,19.0,168.0,74.0,51.0
45,5.0,28.0,163.0,82.0,52.0
46,6.0,29.0,157.0,88.0,53.0
47,10.0,20.0,161.0,79.0,54.0
48,4.0,24.0,151.0,78.0,55.0
49,1.0,16.0,86.0,36.0,56.0
50,10.0,23.0,109.0,86.0,57.0
51,11.0,22.0,178.0,69.0,58.0
52,2.0,22.0,179.0,80.0,59.0
53,2.0,19.0,201.0,57.0,60.0
54,5.0,25.0,162.0,99.0,61.0
55,6.0,19.0,163.0,93.0,62.0
56,18.0,40.0,130.0,93.0,63.0
57,8.0,35.0,132.0,99.0,64.0
58,8.0,51.0,134.0,91.0,65.0
59,0.0,7.0,62.0,47.0,66.0
60,7.0,25.0,121.0,75.0,67.0
61,5.0,24.0,153.0,93.0,68.0
62,13.0,32.0,141.0,81.0,69.0
63,12.0,35.0,135.0,73.0,70.0
64,4.0,23.0,132.0,65.0,71.0
65,10.0,22.0,125.0,69.0,72.0
66,10.0,38.0,133.0,95.0,73.0
67,4.0,25.0,129.0,74.0,74.0
68,4.0,22.0,159.0,77.0,75.0
69,8.0,42.0,137.0,102.0,76.0
70,3.0,32.0,141.0,83.0,77.0
71,7.0,22.0,140.0,70.0,78.0
