,DEL,INS,OK,SUB,page_num
0,7.0,16.0,121.0,49.0,7.0
1,13.0,18.0,165.0,45.0,8.0
2,15.0,26.0,169.0,50.0,9.0
3,12.0,19.0,168.0,64.0,10.0
4,12.0,20.0,192.0,48.0,11.0
5,11.0,20.0,163.0,52.0,12.0
6,7.0,8.0,191.0,35.0,13.0
7,10.0,24.0,147.0,69.0,14.0
8,8.0,13.0,159.0,67.0,15.0
9,8.0,20.0,180.0,63.0,16.0
10,3.0,5.0,60.0,15.0,17.0
11,14.0,11.0,120.0,52.0,18.0
12,1.0,3.0,81.0,26.0,19.0
13,11.0,6.0,143.0,41.0,20.0
14,5.0,12.0,97.0,28.0,21.0
15,9.0,11.0,153.0,30.0,22.0
16,9.0,16.0,188.0,52.0,23.0
17,7.0,17.0,190.0,63.0,24.0
18,8.0,18.0,180.0,63.0,25.0
19,7.0,10.0,149.0,41.0,26.0
20,10.0,18.0,191.0,57.0,27.0
21,8.0,9.0,203.0,49.0,28.0
22,5.0,2.0,77.0,14.0,29.0
23,12.0,9.0,137.0,51.0,30.0
24,16.0,13.0,163.0,71.0,31.0
25,13.0,23.0,186.0,64.0,32.0
26,11.0,27.0,150.0,75.0,33.0
27,14.0,36.0,126.0,96.0,34.0
28,15.0,20.0,162.0,72.0,35.0
29,10.0,18.0,133.0,58.0,36.0
30,19.0,16.0,177.0,51.0,37.0
31,6.0,14.0,154.0,80.0,38.0
32,18.0,21.0,130.0,97.0,39.0
33,19.0,19.0,137.0,79.0,40.0
34,22.0,31.0,111.0,115.0,41.0
35,18.0,31.0,165.0,85.0,42.0
36,25.0,36.0,124.0,97.0,43.0
37,19.0,31.0,146.0,62.0,44.0
38,9.0,14.0,120.0,70.0,45.0
39,14.0,24.0,159.0,75.0,46.0
40,23.0,29.0,145.0,85.0,47.0
41,26.0,20.0,154.0,70.0,48.0
42,15.0,11.0,121.0,57.0,49.0
43,14.0,20.0,170.0,86.0,50.0
44,7.0,16.0,167.0,70.0,51.0
45,13.0,19.0,161.0,76.0,52.0
46,16.0,29.0,153.0,82.0,53.0
47,11.0,21.0,175.0,64.0,54.0
48,9.0,15.0,162.0,62.0,55.0
49,2.0,6.0,85.0,36.0,56.0
50,18.0,24.0,102.0,85.0,57.0
51,16.0,17.0,177.0,65.0,58.0
52,15.0,22.0,180.0,66.0,59.0
53,8.0,13.0,198.0,54.0,60.0
54,19.0,15.0,173.0,74.0,61.0
55,16.0,15.0,171.0,75.0,62.0
56,21.0,35.0,131.0,89.0,63.0
57,18.0,31.0,126.0,95.0,64.0
58,18.0,33.0,136.0,79.0,65.0
59,3.0,9.0,67.0,39.0,66.0
60,14.0,15.0,119.0,70.0,67.0
61,17.0,17.0,136.0,98.0,68.0
62,21.0,26.0,135.0,79.0,69.0
63,19.0,24.0,130.0,71.0,70.0
64,6.0,11.0,138.0,57.0,71.0
65,15.0,15.0,130.0,59.0,72.0
66,23.0,23.0,115.0,100.0,73.0
67,8.0,20.0,131.0,68.0,74.0
68,14.0,17.0,152.0,74.0,75.0
69,18.0,21.0,134.0,95.0,76.0
70,11.0,24.0,132.0,84.0,77.0
71,21.0,14.0,132.0,64.0,78.0
72,15.0,23.0,161.0,74.0,79.0
73,19.0,22.0,151.0,76.0,80.0
74,10.0,15.0,182.0,63.0,81.0
75,32.0,33.0,167.0,58.0,82.0
76,10.0,14.0,177.0,70.0,83.0
77,11.0,8.0,51.0,24.0,84.0
78,10.0,18.0,168.0,36.0,85.0
79,10.0,18.0,173.0,70.0,86.0
80,14.0,19.0,159.0,71.0,87.0
81,15.0,23.0,167.0,63.0,88.0
82,8.0,10.0,149.0,51.0,89.0
83,17.0,15.0,176.0,74.0,90.0
