,DEL,INS,OK,SUB,page_num
0,6.0,9.0,123.0,48.0,7.0
1,11.0,23.0,170.0,42.0,8.0
2,12.0,23.0,165.0,57.0,9.0
3,11.0,19.0,183.0,50.0,10.0
4,14.0,15.0,181.0,57.0,11.0
5,8.0,14.0,152.0,66.0,12.0
6,5.0,18.0,194.0,34.0,13.0
7,13.0,17.0,147.0,66.0,14.0
8,13.0,19.0,157.0,64.0,15.0
9,11.0,18.0,188.0,52.0,16.0
10,1.0,3.0,60.0,17.0,17.0
11,12.0,16.0,111.0,63.0,18.0
12,4.0,2.0,79.0,25.0,19.0
13,16.0,12.0,131.0,48.0,20.0
14,6.0,8.0,89.0,35.0,21.0
15,10.0,8.0,151.0,31.0,22.0
16,18.0,15.0,165.0,66.0,23.0
17,6.0,13.0,195.0,59.0,24.0
18,13.0,13.0,168.0,70.0,25.0
19,5.0,12.0,158.0,34.0,26.0
20,12.0,18.0,179.0,67.0,27.0
21,14.0,9.0,192.0,54.0,28.0
22,10.0,4.0,62.0,24.0,29.0
23,15.0,12.0,137.0,48.0,30.0
24,23.0,18.0,155.0,72.0,31.0
25,20.0,28.0,166.0,77.0,32.0
26,20.0,17.0,143.0,73.0,33.0
27,18.0,27.0,122.0,96.0,34.0
28,19.0,18.0,150.0,80.0,35.0
29,13.0,12.0,130.0,58.0,36.0
30,24.0,22.0,152.0,71.0,37.0
31,14.0,14.0,147.0,79.0,38.0
32,18.0,26.0,123.0,104.0,39.0
33,17.0,25.0,138.0,80.0,40.0
34,20.0,32.0,109.0,119.0,41.0
35,20.0,31.0,163.0,85.0,42.0
36,25.0,38.0,124.0,97.0,43.0
37,25.0,29.0,134.0,68.0,44.0
38,9.0,20.0,126.0,64.0,45.0
39,14.0,26.0,155.0,79.0,46.0
40,17.0,36.0,132.0,104.0,47.0
41,26.0,30.0,137.0,87.0,48.0
42,12.0,15.0,119.0,62.0,49.0
43,18.0,21.0,157.0,95.0,50.0
44,9.0,18.0,170.0,65.0,51.0
45,16.0,21.0,160.0,74.0,52.0
46,11.0,33.0,152.0,88.0,53.0
47,19.0,17.0,161.0,70.0,54.0
48,10.0,17.0,170.0,53.0,55.0
49,5.0,9.0,85.0,33.0,56.0
50,21.0,20.0,99.0,85.0,57.0
51,22.0,16.0,171.0,65.0,58.0
52,9.0,25.0,171.0,81.0,59.0
53,8.0,20.0,195.0,57.0,60.0
54,15.0,13.0,169.0,82.0,61.0
55,23.0,21.0,151.0,88.0,62.0
56,25.0,44.0,136.0,80.0,63.0
57,22.0,35.0,135.0,76.0,65.0
58,8.0,7.0,60.0,41.0,66.0
59,20.0,14.0,118.0,65.0,67.0
