,DEL,INS,OK,SUB,page_num
0,2.0,8.0,136.0,39.0,7.0
1,8.0,19.0,181.0,34.0,8.0
2,10.0,26.0,174.0,50.0,9.0
3,4.0,22.0,199.0,41.0,10.0
4,7.0,21.0,194.0,51.0,11.0
5,3.0,21.0,172.0,51.0,12.0
6,2.0,16.0,195.0,36.0,13.0
7,3.0,19.0,169.0,54.0,14.0
8,0.0,20.0,177.0,57.0,15.0
9,5.0,19.0,200.0,46.0,16.0
10,0.0,2.0,64.0,14.0,17.0
11,3.0,14.0,129.0,54.0,18.0
12,0.0,2.0,86.0,22.0,19.0
13,6.0,2.0,151.0,38.0,20.0
14,3.0,6.0,97.0,30.0,21.0
15,3.0,4.0,154.0,35.0,22.0
16,8.0,7.0,184.0,57.0,23.0
17,3.0,11.0,197.0,60.0,24.0
18,3.0,6.0,194.0,54.0,25.0
19,3.0,5.0,165.0,29.0,26.0
20,5.0,10.0,198.0,55.0,27.0
21,1.0,4.0,204.0,55.0,28.0
22,2.0,2.0,73.0,21.0,29.0
23,3.0,5.0,148.0,49.0,30.0
24,5.0,21.0,176.0,69.0,31.0
25,5.0,17.0,193.0,65.0,32.0
26,7.0,9.0,159.0,70.0,33.0
27,9.0,12.0,138.0,89.0,34.0
28,1.0,11.0,175.0,73.0,35.0
29,8.0,13.0,148.0,45.0,36.0
30,12.0,12.0,174.0,61.0,37.0
31,3.0,8.0,156.0,81.0,38.0
32,6.0,18.0,156.0,83.0,39.0
33,6.0,23.0,156.0,73.0,40.0
34,11.0,44.0,138.0,99.0,41.0
35,12.0,37.0,186.0,70.0,42.0
36,9.0,39.0,142.0,95.0,43.0
37,12.0,28.0,155.0,60.0,44.0
38,4.0,15.0,139.0,56.0,45.0
39,8.0,36.0,171.0,69.0,46.0
40,9.0,36.0,153.0,91.0,47.0
41,18.0,41.0,148.0,84.0,48.0
42,5.0,15.0,132.0,56.0,49.0
43,8.0,27.0,184.0,78.0,50.0
44,3.0,20.0,175.0,66.0,51.0
45,3.0,26.0,167.0,80.0,52.0
46,5.0,28.0,163.0,83.0,53.0
47,11.0,21.0,172.0,67.0,54.0
48,4.0,24.0,171.0,58.0,55.0
49,1.0,15.0,92.0,30.0,56.0
50,8.0,22.0,114.0,83.0,57.0
51,11.0,23.0,191.0,56.0,58.0
52,2.0,21.0,186.0,73.0,59.0
53,2.0,18.0,206.0,52.0,60.0
54,6.0,26.0,185.0,75.0,61.0
55,6.0,21.0,175.0,81.0,62.0
56,8.0,11.0,143.0,88.0,64.0
57,9.0,24.0,147.0,77.0,65.0
58,0.0,3.0,67.0,42.0,66.0
59,6.0,11.0,127.0,70.0,67.0
60,4.0,15.0,159.0,88.0,68.0
61,13.0,17.0,143.0,79.0,69.0
62,11.0,20.0,137.0,72.0,70.0
63,4.0,15.0,136.0,61.0,71.0
64,10.0,8.0,134.0,60.0,72.0
65,11.0,22.0,137.0,90.0,73.0
66,3.0,13.0,134.0,70.0,74.0
