,DEL,INS,OK,SUB,page_num
0,6.0,8.0,122.0,49.0,7.0
1,12.0,24.0,164.0,47.0,8.0
2,13.0,22.0,161.0,60.0,9.0
3,10.0,22.0,172.0,62.0,10.0
4,14.0,14.0,175.0,63.0,11.0
5,6.0,14.0,155.0,65.0,12.0
6,5.0,19.0,188.0,40.0,13.0
7,9.0,20.0,150.0,67.0,14.0
8,12.0,21.0,153.0,69.0,15.0
9,11.0,18.0,181.0,59.0,16.0
10,1.0,2.0,58.0,19.0,17.0
11,10.0,18.0,112.0,64.0,18.0
12,3.0,2.0,82.0,23.0,19.0
13,13.0,12.0,132.0,50.0,20.0
14,6.0,8.0,89.0,35.0,21.0
15,12.0,9.0,148.0,32.0,22.0
16,20.0,13.0,173.0,56.0,23.0
17,9.0,12.0,184.0,67.0,24.0
18,15.0,12.0,164.0,72.0,25.0
19,6.0,13.0,147.0,44.0,26.0
20,12.0,21.0,183.0,63.0,27.0
21,14.0,11.0,192.0,54.0,28.0
22,10.0,5.0,66.0,20.0,29.0
23,15.0,13.0,135.0,50.0,30.0
24,24.0,22.0,151.0,75.0,31.0
25,17.0,27.0,165.0,81.0,32.0
26,17.0,21.0,147.0,72.0,33.0
27,19.0,26.0,119.0,98.0,34.0
28,20.0,18.0,149.0,80.0,35.0
29,13.0,9.0,125.0,63.0,36.0
30,21.0,21.0,157.0,69.0,37.0
31,19.0,15.0,145.0,76.0,38.0
32,20.0,29.0,121.0,104.0,39.0
33,17.0,25.0,134.0,84.0,40.0
34,22.0,32.0,106.0,120.0,41.0
35,20.0,31.0,159.0,89.0,42.0
36,24.0,48.0,124.0,98.0,43.0
37,26.0,29.0,133.0,68.0,44.0
38,8.0,21.0,124.0,67.0,45.0
39,13.0,27.0,149.0,86.0,46.0
40,17.0,33.0,137.0,99.0,47.0
41,28.0,30.0,136.0,86.0,48.0
42,14.0,17.0,118.0,61.0,49.0
43,14.0,23.0,159.0,97.0,50.0
44,7.0,18.0,170.0,67.0,51.0
45,15.0,24.0,158.0,77.0,52.0
46,9.0,33.0,147.0,95.0,53.0
47,19.0,19.0,159.0,72.0,54.0
48,13.0,16.0,161.0,59.0,55.0
49,6.0,9.0,86.0,31.0,56.0
50,22.0,19.0,96.0,87.0,57.0
51,19.0,17.0,169.0,70.0,58.0
52,10.0,24.0,170.0,81.0,59.0
53,8.0,17.0,192.0,60.0,60.0
54,16.0,19.0,170.0,80.0,61.0
55,20.0,23.0,152.0,90.0,62.0
56,29.0,40.0,128.0,84.0,63.0
57,27.0,30.0,123.0,83.0,65.0
58,6.0,8.0,61.0,42.0,66.0
59,27.0,15.0,109.0,67.0,67.0
60,23.0,20.0,126.0,102.0,68.0
61,26.0,22.0,133.0,76.0,69.0
62,25.0,23.0,121.0,74.0,70.0
63,7.0,13.0,134.0,60.0,71.0
64,19.0,11.0,122.0,63.0,72.0
65,25.0,16.0,112.0,101.0,73.0
66,6.0,18.0,128.0,73.0,74.0
67,16.0,11.0,150.0,74.0,75.0
68,26.0,21.0,121.0,100.0,76.0
69,12.0,19.0,133.0,82.0,77.0
