,DEL,INS,OK,SUB,page_num
0,5.0,15.0,126.0,46.0,7.0
1,12.0,25.0,168.0,43.0,8.0
2,11.0,26.0,175.0,48.0,9.0
3,9.0,16.0,192.0,43.0,10.0
4,10.0,20.0,197.0,45.0,11.0
5,7.0,21.0,168.0,51.0,12.0
6,4.0,15.0,200.0,29.0,13.0
7,9.0,21.0,160.0,57.0,14.0
8,10.0,26.0,157.0,67.0,15.0
9,9.0,16.0,192.0,50.0,16.0
10,1.0,5.0,57.0,20.0,17.0
11,8.0,17.0,119.0,59.0,18.0
12,6.0,2.0,75.0,27.0,19.0
13,14.0,3.0,140.0,41.0,20.0
14,8.0,8.0,86.0,36.0,21.0
15,10.0,13.0,143.0,39.0,22.0
16,11.0,9.0,179.0,59.0,23.0
17,5.0,19.0,194.0,61.0,24.0
18,11.0,8.0,172.0,68.0,25.0
19,10.0,9.0,152.0,35.0,26.0
20,12.0,16.0,192.0,54.0,27.0
21,8.0,8.0,203.0,49.0,28.0
22,5.0,6.0,71.0,20.0,29.0
23,14.0,5.0,137.0,49.0,30.0
24,17.0,23.0,166.0,67.0,31.0
25,16.0,28.0,167.0,80.0,32.0
26,14.0,16.0,147.0,75.0,33.0
27,23.0,26.0,128.0,85.0,34.0
28,15.0,13.0,164.0,70.0,35.0
29,11.0,8.0,135.0,55.0,36.0
30,18.0,18.0,169.0,60.0,37.0
31,10.0,16.0,156.0,74.0,38.0
32,17.0,21.0,135.0,93.0,39.0
33,16.0,23.0,146.0,73.0,40.0
34,25.0,34.0,120.0,103.0,41.0
35,16.0,39.0,172.0,80.0,42.0
36,16.0,32.0,126.0,104.0,43.0
37,20.0,33.0,144.0,63.0,44.0
38,9.0,15.0,132.0,58.0,45.0
39,12.0,35.0,162.0,74.0,46.0
40,13.0,39.0,149.0,91.0,47.0
41,27.0,40.0,148.0,75.0,48.0
42,9.0,11.0,128.0,56.0,49.0
43,16.0,24.0,170.0,84.0,50.0
44,4.0,21.0,178.0,62.0,51.0
45,11.0,13.0,166.0,73.0,52.0
46,12.0,31.0,164.0,75.0,53.0
47,15.0,25.0,172.0,63.0,54.0
48,8.0,26.0,175.0,50.0,55.0
49,3.0,13.0,88.0,32.0,56.0
50,16.0,23.0,106.0,83.0,57.0
51,15.0,25.0,184.0,59.0,58.0
52,9.0,25.0,188.0,64.0,59.0
53,8.0,13.0,198.0,54.0,60.0
54,15.0,23.0,174.0,77.0,61.0
55,10.0,23.0,175.0,77.0,62.0
56,25.0,44.0,126.0,90.0,63.0
57,16.0,30.0,127.0,96.0,64.0
58,19.0,46.0,136.0,78.0,65.0
59,5.0,6.0,62.0,42.0,66.0
60,10.0,24.0,126.0,67.0,67.0
61,16.0,24.0,144.0,91.0,68.0
62,22.0,25.0,136.0,77.0,69.0
63,20.0,33.0,132.0,68.0,70.0
64,5.0,15.0,137.0,59.0,71.0
65,12.0,26.0,125.0,67.0,72.0
66,19.0,25.0,134.0,85.0,73.0
67,9.0,23.0,132.0,66.0,74.0
68,11.0,25.0,157.0,72.0,75.0
69,12.0,45.0,144.0,91.0,76.0
70,12.0,35.0,135.0,80.0,77.0
71,13.0,20.0,138.0,66.0,78.0
72,11.0,26.0,162.0,77.0,79.0
73,15.0,10.0,177.0,63.0,81.0
74,35.0,32.0,170.0,52.0,82.0
75,11.0,12.0,181.0,65.0,83.0
76,11.0,7.0,53.0,22.0,84.0
77,13.0,19.0,150.0,51.0,85.0
78,10.0,18.0,180.0,63.0,86.0
79,17.0,14.0,154.0,73.0,87.0
80,13.0,18.0,163.0,69.0,88.0
81,11.0,9.0,145.0,52.0,89.0
82,16.0,11.0,178.0,73.0,90.0
83,16.0,6.0,177.0,56.0,91.0
84,12.0,26.0,186.0,64.0,92.0
85,20.0,18.0,188.0,55.0,93.0
86,17.0,18.0,173.0,70.0,94.0
87,17.0,13.0,184.0,64.0,95.0
88,11.0,8.0,175.0,61.0,96.0
89,14.0,14.0,170.0,71.0,97.0
90,26.0,27.0,104.0,125.0,98.0
91,10.0,11.0,72.0,48.0,99.0
92,13.0,9.0,127.0,54.0,100.0
93,16.0,11.0,145.0,84.0,101.0
94,25.0,18.0,143.0,85.0,102.0
95,20.0,21.0,132.0,94.0,103.0
96,15.0,16.0,174.0,68.0,104.0
97,13.0,16.0,175.0,62.0,105.0
98,29.0,26.0,126.0,95.0,106.0
99,2.0,8.0,41.0,22.0,107.0
100,18.0,9.0,161.0,49.0,108.0
101,17.0,16.0,181.0,66.0,109.0
102,11.0,34.0,161.0,86.0,110.0
103,14.0,14.0,141.0,98.0,111.0
104,14.0,10.0,156.0,67.0,112.0
105,11.0,7.0,153.0,73.0,113.0
106,25.0,22.0,156.0,79.0,114.0
107,25.0,21.0,124.0,102.0,115.0
108,22.0,14.0,146.0,76.0,116.0
109,9.0,3.0,118.0,50.0,117.0
110,13.0,13.0,129.0,85.0,118.0
111,14.0,14.0,152.0,57.0,119.0
112,29.0,24.0,147.0,79.0,120.0
113,15.0,16.0,142.0,87.0,121.0
114,6.0,10.0,113.0,47.0,122.0
115,11.0,9.0,134.0,71.0,123.0
116,19.0,25.0,130.0,85.0,124.0
117,22.0,9.0,152.0,67.0,125.0
118,15.0,15.0,122.0,100.0,126.0
119,14.0,9.0,135.0,70.0,127.0
120,20.0,14.0,128.0,59.0,128.0
121,8.0,16.0,189.0,68.0,129.0
122,14.0,15.0,178.0,73.0,130.0
123,12.0,17.0,144.0,90.0,131.0
124,21.0,21.0,139.0,95.0,132.0
125,10.0,24.0,189.0,56.0,133.0
126,16.0,26.0,153.0,67.0,134.0
127,25.0,18.0,120.0,93.0,135.0
128,9.0,11.0,54.0,25.0,136.0
129,17.0,15.0,111.0,75.0,137.0
130,14.0,11.0,177.0,64.0,138.0
131,18.0,17.0,142.0,86.0,139.0
132,19.0,18.0,148.0,67.0,140.0
133,48.0,11.0,135.0,82.0,141.0
134,17.0,17.0,129.0,91.0,142.0
135,16.0,7.0,94.0,47.0,143.0
136,13.0,9.0,130.0,66.0,144.0
137,15.0,17.0,165.0,75.0,145.0
138,14.0,16.0,163.0,64.0,146.0
139,10.0,7.0,175.0,65.0,147.0
140,17.0,16.0,163.0,68.0,148.0
141,5.0,20.0,171.0,52.0,149.0
142,5.0,8.0,52.0,15.0,150.0
143,13.0,10.0,159.0,55.0,151.0
144,13.0,16.0,172.0,55.0,152.0
145,13.0,14.0,175.0,72.0,153.0
146,16.0,16.0,152.0,76.0,154.0
147,18.0,21.0,139.0,89.0,155.0
148,17.0,16.0,148.0,62.0,156.0
149,13.0,8.0,165.0,67.0,157.0
150,14.0,7.0,146.0,50.0,158.0
151,29.0,16.0,144.0,49.0,159.0
152,21.0,17.0,157.0,76.0,160.0
153,20.0,18.0,162.0,56.0,161.0
154,13.0,22.0,175.0,57.0,162.0
155,10.0,15.0,181.0,54.0,163.0
156,12.0,15.0,176.0,57.0,164.0
157,15.0,12.0,157.0,89.0,165.0
158,13.0,15.0,173.0,66.0,166.0
159,13.0,12.0,156.0,54.0,167.0
160,6.0,9.0,148.0,58.0,168.0
161,10.0,16.0,187.0,59.0,169.0
162,13.0,13.0,179.0,70.0,170.0
163,8.0,32.0,147.0,93.0,171.0
164,16.0,25.0,151.0,76.0,172.0
165,16.0,13.0,183.0,73.0,173.0
166,8.0,13.0,192.0,55.0,174.0
167,18.0,24.0,168.0,75.0,175.0
168,12.0,19.0,150.0,85.0,176.0
169,10.0,13.0,143.0,52.0,177.0
170,8.0,11.0,147.0,53.0,178.0
171,22.0,24.0,144.0,83.0,179.0
172,19.0,25.0,168.0,56.0,180.0
173,37.0,33.0,154.0,59.0,181.0
174,17.0,7.0,163.0,67.0,182.0
175,10.0,18.0,155.0,62.0,183.0
176,28.0,26.0,175.0,65.0,184.0
177,25.0,19.0,158.0,67.0,185.0
178,16.0,16.0,162.0,79.0,186.0
179,28.0,27.0,138.0,89.0,187.0
180,3.0,12.0,55.0,14.0,188.0
