,DEL,INS,OK,SUB,page_num
0,2.0,8.0,133.0,42.0,7.0
1,8.0,19.0,178.0,37.0,8.0
2,10.0,26.0,176.0,48.0,9.0
3,5.0,22.0,196.0,43.0,10.0
4,7.0,21.0,199.0,46.0,11.0
5,3.0,21.0,171.0,52.0,12.0
6,2.0,16.0,197.0,34.0,13.0
7,3.0,20.0,168.0,55.0,14.0
8,0.0,21.0,175.0,59.0,15.0
9,4.0,17.0,200.0,47.0,16.0
10,0.0,2.0,63.0,15.0,17.0
11,3.0,14.0,125.0,58.0,18.0
12,0.0,2.0,82.0,26.0,19.0
13,6.0,2.0,151.0,38.0,20.0
14,3.0,6.0,96.0,31.0,21.0
15,3.0,4.0,153.0,36.0,22.0
16,7.0,6.0,183.0,59.0,23.0
17,3.0,11.0,198.0,59.0,24.0
18,4.0,7.0,186.0,61.0,25.0
19,3.0,5.0,165.0,29.0,26.0
20,4.0,9.0,199.0,55.0,27.0
21,1.0,4.0,206.0,53.0,28.0
22,2.0,2.0,72.0,22.0,29.0
23,3.0,5.0,151.0,46.0,30.0
24,5.0,21.0,180.0,65.0,31.0
25,6.0,18.0,184.0,73.0,32.0
26,7.0,9.0,160.0,69.0,33.0
27,10.0,12.0,136.0,90.0,34.0
28,3.0,13.0,181.0,65.0,35.0
29,8.0,13.0,147.0,46.0,36.0
30,12.0,12.0,173.0,62.0,37.0
31,4.0,9.0,162.0,74.0,38.0
32,6.0,18.0,157.0,82.0,39.0
33,6.0,23.0,154.0,75.0,40.0
34,10.0,43.0,139.0,99.0,41.0
35,11.0,36.0,184.0,73.0,42.0
36,9.0,39.0,148.0,89.0,43.0
37,12.0,28.0,154.0,61.0,44.0
38,2.0,14.0,142.0,55.0,45.0
39,7.0,35.0,168.0,73.0,46.0
40,9.0,36.0,159.0,85.0,47.0
41,19.0,43.0,156.0,75.0,48.0
42,5.0,15.0,133.0,55.0,49.0
43,8.0,28.0,177.0,85.0,50.0
44,3.0,20.0,177.0,64.0,51.0
45,4.0,27.0,168.0,78.0,52.0
46,5.0,27.0,170.0,76.0,53.0
47,10.0,21.0,174.0,66.0,54.0
48,4.0,24.0,173.0,56.0,55.0
49,1.0,15.0,88.0,34.0,56.0
50,10.0,24.0,119.0,76.0,57.0
51,11.0,23.0,193.0,54.0,58.0
52,2.0,21.0,188.0,71.0,59.0
53,2.0,19.0,201.0,57.0,60.0
54,7.0,27.0,182.0,77.0,61.0
55,6.0,20.0,173.0,83.0,62.0
56,18.0,39.0,136.0,87.0,63.0
57,8.0,35.0,147.0,84.0,64.0
58,9.0,52.0,149.0,75.0,65.0
59,0.0,7.0,69.0,40.0,66.0
60,7.0,24.0,129.0,67.0,67.0
61,5.0,24.0,154.0,92.0,68.0
62,13.0,32.0,146.0,76.0,69.0
63,11.0,35.0,143.0,66.0,70.0
64,4.0,23.0,139.0,58.0,71.0
65,10.0,22.0,128.0,66.0,72.0
66,11.0,39.0,143.0,84.0,73.0
67,3.0,24.0,136.0,68.0,74.0
68,4.0,22.0,173.0,63.0,75.0
69,8.0,44.0,157.0,82.0,76.0
70,3.0,32.0,153.0,71.0,77.0
71,6.0,22.0,144.0,67.0,78.0
72,6.0,33.0,170.0,74.0,79.0
73,3.0,5.0,189.0,63.0,81.0
74,23.0,28.0,177.0,57.0,82.0
75,1.0,9.0,190.0,66.0,83.0
76,10.0,6.0,58.0,18.0,84.0
77,7.0,13.0,165.0,42.0,85.0
78,4.0,10.0,184.0,65.0,86.0
79,8.0,2.0,171.0,65.0,87.0
80,6.0,17.0,176.0,63.0,88.0
81,3.0,9.0,159.0,46.0,89.0
82,8.0,9.0,196.0,63.0,90.0
83,7.0,10.0,193.0,49.0,91.0
84,6.0,23.0,195.0,61.0,92.0
85,10.0,12.0,201.0,52.0,93.0
86,7.0,19.0,185.0,68.0,94.0
87,7.0,4.0,196.0,62.0,95.0
88,4.0,7.0,189.0,54.0,96.0
89,2.0,11.0,178.0,75.0,97.0
90,14.0,18.0,120.0,121.0,98.0
91,2.0,11.0,77.0,51.0,99.0
92,7.0,7.0,138.0,49.0,100.0
93,6.0,7.0,155.0,84.0,101.0
94,11.0,18.0,156.0,86.0,102.0
95,8.0,13.0,141.0,97.0,103.0
96,5.0,9.0,180.0,72.0,104.0
97,4.0,9.0,187.0,59.0,105.0
98,12.0,12.0,148.0,90.0,106.0
99,1.0,8.0,41.0,23.0,107.0
100,8.0,10.0,174.0,46.0,108.0
101,7.0,13.0,189.0,68.0,109.0
102,9.0,33.0,165.0,84.0,110.0
103,4.0,20.0,157.0,92.0,111.0
104,3.0,11.0,172.0,62.0,112.0
105,2.0,13.0,163.0,72.0,113.0
106,12.0,18.0,165.0,83.0,114.0
107,11.0,13.0,138.0,102.0,115.0
108,7.0,12.0,164.0,73.0,116.0
109,4.0,4.0,118.0,55.0,117.0
110,7.0,8.0,138.0,82.0,118.0
111,7.0,10.0,153.0,63.0,119.0
112,18.0,21.0,155.0,82.0,120.0
113,5.0,11.0,164.0,75.0,121.0
114,3.0,3.0,121.0,42.0,122.0
115,3.0,7.0,142.0,71.0,123.0
116,8.0,17.0,140.0,86.0,124.0
117,9.0,8.0,153.0,79.0,125.0
118,3.0,20.0,139.0,95.0,126.0
119,5.0,9.0,144.0,70.0,127.0
120,14.0,17.0,131.0,62.0,128.0
121,7.0,11.0,189.0,69.0,129.0
122,7.0,18.0,183.0,75.0,130.0
123,4.0,14.0,149.0,93.0,131.0
124,4.0,17.0,172.0,79.0,132.0
125,8.0,25.0,187.0,60.0,133.0
126,10.0,32.0,152.0,74.0,134.0
127,14.0,14.0,141.0,83.0,135.0
128,8.0,8.0,52.0,28.0,136.0
129,5.0,11.0,124.0,74.0,137.0
130,5.0,5.0,183.0,67.0,138.0
131,8.0,5.0,166.0,72.0,139.0
132,10.0,12.0,163.0,61.0,140.0
133,42.0,13.0,139.0,84.0,141.0
134,6.0,13.0,149.0,82.0,142.0
135,6.0,5.0,107.0,44.0,143.0
136,3.0,11.0,136.0,70.0,144.0
137,2.0,6.0,184.0,69.0,145.0
138,7.0,11.0,161.0,73.0,146.0
139,3.0,9.0,178.0,69.0,147.0
140,7.0,10.0,173.0,68.0,148.0
141,2.0,16.0,186.0,40.0,149.0
142,4.0,10.0,52.0,16.0,150.0
143,5.0,10.0,157.0,65.0,151.0
144,7.0,14.0,187.0,46.0,152.0
145,8.0,9.0,189.0,63.0,153.0
146,8.0,14.0,151.0,85.0,154.0
147,9.0,21.0,167.0,70.0,155.0
148,9.0,11.0,157.0,61.0,156.0
149,7.0,7.0,180.0,58.0,157.0
150,5.0,6.0,157.0,48.0,158.0
151,19.0,17.0,150.0,53.0,159.0
152,6.0,14.0,169.0,79.0,160.0
153,10.0,14.0,165.0,63.0,161.0
154,10.0,14.0,176.0,59.0,162.0
155,6.0,11.0,189.0,50.0,163.0
156,6.0,9.0,181.0,58.0,164.0
157,4.0,8.0,184.0,73.0,165.0
158,5.0,8.0,185.0,62.0,166.0
159,7.0,12.0,158.0,58.0,167.0
160,4.0,12.0,149.0,59.0,168.0
161,5.0,10.0,192.0,59.0,169.0
162,6.0,6.0,198.0,58.0,170.0
163,3.0,11.0,163.0,82.0,171.0
164,11.0,16.0,162.0,70.0,172.0
165,9.0,10.0,187.0,76.0,173.0
166,2.0,5.0,193.0,60.0,174.0
167,13.0,15.0,192.0,56.0,175.0
168,1.0,11.0,169.0,77.0,176.0
169,4.0,5.0,159.0,42.0,177.0
170,7.0,9.0,143.0,58.0,178.0
171,8.0,20.0,159.0,82.0,179.0
172,14.0,19.0,170.0,59.0,180.0
173,30.0,30.0,150.0,70.0,181.0
174,6.0,7.0,178.0,63.0,182.0
175,3.0,7.0,162.0,62.0,183.0
176,20.0,23.0,193.0,55.0,184.0
177,16.0,17.0,178.0,56.0,185.0
178,11.0,18.0,171.0,75.0,186.0
179,20.0,30.0,157.0,78.0,187.0
180,2.0,15.0,58.0,12.0,188.0
