,DEL,INS,OK,SUB,page_num
0,6.0,13.0,123.0,48.0,7.0
1,13.0,24.0,162.0,48.0,8.0
2,11.0,28.0,172.0,51.0,9.0
3,9.0,19.0,181.0,54.0,10.0
4,11.0,22.0,191.0,50.0,11.0
5,6.0,25.0,167.0,53.0,12.0
6,5.0,15.0,192.0,36.0,13.0
7,7.0,19.0,155.0,64.0,14.0
8,6.0,23.0,157.0,71.0,15.0
9,11.0,17.0,185.0,55.0,16.0
10,1.0,7.0,54.0,23.0,17.0
11,7.0,17.0,120.0,59.0,18.0
12,4.0,2.0,79.0,25.0,19.0
13,13.0,4.0,137.0,45.0,20.0
14,7.0,9.0,86.0,37.0,21.0
15,11.0,14.0,146.0,35.0,22.0
16,13.0,11.0,181.0,55.0,23.0
17,4.0,24.0,187.0,69.0,24.0
18,10.0,12.0,173.0,68.0,25.0
19,9.0,10.0,146.0,42.0,26.0
20,10.0,22.0,191.0,57.0,27.0
21,10.0,8.0,200.0,50.0,28.0
22,5.0,6.0,72.0,19.0,29.0
23,15.0,7.0,133.0,52.0,30.0
24,14.0,21.0,164.0,72.0,31.0
25,16.0,28.0,169.0,78.0,32.0
26,14.0,22.0,149.0,73.0,33.0
27,18.0,24.0,130.0,88.0,34.0
28,15.0,15.0,162.0,72.0,35.0
29,9.0,9.0,139.0,53.0,36.0
30,18.0,17.0,170.0,59.0,37.0
31,10.0,17.0,148.0,82.0,38.0
32,16.0,27.0,136.0,93.0,39.0
33,15.0,24.0,136.0,84.0,40.0
34,21.0,39.0,116.0,111.0,41.0
35,15.0,37.0,169.0,84.0,42.0
36,17.0,39.0,126.0,103.0,43.0
37,18.0,34.0,148.0,61.0,44.0
38,9.0,14.0,129.0,61.0,45.0
39,12.0,37.0,161.0,75.0,46.0
40,13.0,37.0,151.0,89.0,47.0
41,25.0,40.0,147.0,78.0,48.0
42,8.0,12.0,126.0,59.0,49.0
43,16.0,25.0,168.0,86.0,50.0
44,3.0,19.0,177.0,64.0,51.0
45,12.0,15.0,162.0,76.0,52.0
46,13.0,33.0,153.0,85.0,53.0
47,14.0,25.0,170.0,66.0,54.0
48,8.0,25.0,169.0,56.0,55.0
49,3.0,12.0,87.0,33.0,56.0
50,16.0,23.0,104.0,85.0,57.0
51,15.0,25.0,178.0,65.0,58.0
52,10.0,29.0,184.0,67.0,59.0
53,7.0,11.0,198.0,55.0,60.0
54,14.0,24.0,174.0,78.0,61.0
55,11.0,25.0,178.0,73.0,62.0
56,23.0,47.0,121.0,97.0,63.0
57,16.0,33.0,131.0,92.0,64.0
58,19.0,53.0,131.0,83.0,65.0
59,5.0,8.0,64.0,40.0,66.0
60,12.0,25.0,118.0,73.0,67.0
61,17.0,28.0,141.0,93.0,68.0
62,21.0,28.0,134.0,80.0,69.0
63,19.0,35.0,131.0,70.0,70.0
64,5.0,17.0,133.0,63.0,71.0
65,12.0,24.0,124.0,68.0,72.0
66,19.0,29.0,120.0,99.0,73.0
67,8.0,21.0,134.0,65.0,74.0
68,13.0,24.0,158.0,69.0,75.0
69,14.0,46.0,136.0,97.0,76.0
70,11.0,36.0,135.0,81.0,77.0
71,13.0,22.0,140.0,64.0,78.0
72,14.0,29.0,163.0,73.0,79.0
73,14.0,9.0,179.0,62.0,81.0
