,DEL,INS,OK,SUB,page_num
0,2.0,3.0,138.0,37.0,7.0
1,9.0,8.0,178.0,36.0,8.0
2,9.0,13.0,179.0,46.0,9.0
3,4.0,11.0,196.0,44.0,10.0
4,7.0,10.0,203.0,42.0,11.0
5,2.0,11.0,179.0,45.0,12.0
6,2.0,8.0,196.0,35.0,13.0
7,2.0,5.0,174.0,50.0,14.0
8,0.0,5.0,184.0,50.0,15.0
9,5.0,6.0,200.0,46.0,16.0
10,0.0,1.0,64.0,14.0,17.0
11,3.0,10.0,137.0,46.0,18.0
12,0.0,2.0,89.0,19.0,19.0
13,6.0,2.0,158.0,31.0,20.0
14,3.0,6.0,103.0,24.0,21.0
15,3.0,3.0,167.0,22.0,22.0
16,7.0,6.0,203.0,39.0,23.0
17,2.0,7.0,201.0,57.0,24.0
18,3.0,5.0,201.0,47.0,25.0
19,3.0,4.0,164.0,30.0,26.0
20,4.0,9.0,207.0,47.0,27.0
21,1.0,4.0,217.0,42.0,28.0
22,2.0,2.0,81.0,13.0,29.0
23,3.0,4.0,158.0,39.0,30.0
24,6.0,12.0,183.0,61.0,31.0
25,5.0,14.0,193.0,65.0,32.0
26,6.0,7.0,172.0,58.0,33.0
27,9.0,12.0,145.0,82.0,34.0
28,1.0,9.0,184.0,64.0,35.0
29,7.0,13.0,151.0,43.0,36.0
30,12.0,12.0,189.0,46.0,37.0
31,3.0,5.0,167.0,70.0,38.0
32,6.0,12.0,162.0,77.0,39.0
33,6.0,11.0,154.0,75.0,40.0
34,10.0,31.0,137.0,101.0,41.0
35,10.0,17.0,187.0,71.0,42.0
36,9.0,20.0,156.0,81.0,43.0
37,12.0,17.0,163.0,52.0,44.0
38,2.0,8.0,151.0,46.0,45.0
39,7.0,13.0,180.0,61.0,46.0
40,10.0,15.0,167.0,76.0,47.0
41,19.0,20.0,162.0,69.0,48.0
42,4.0,7.0,137.0,52.0,49.0
43,8.0,11.0,188.0,74.0,50.0
44,2.0,10.0,187.0,55.0,51.0
45,4.0,20.0,174.0,72.0,52.0
46,5.0,12.0,173.0,73.0,53.0
47,9.0,7.0,183.0,58.0,54.0
48,4.0,12.0,171.0,58.0,55.0
49,1.0,6.0,95.0,27.0,56.0
50,10.0,14.0,119.0,76.0,57.0
51,11.0,10.0,193.0,54.0,58.0
52,2.0,9.0,201.0,58.0,59.0
53,2.0,7.0,211.0,47.0,60.0
54,5.0,10.0,192.0,69.0,61.0
55,5.0,7.0,195.0,62.0,62.0
56,17.0,24.0,142.0,82.0,63.0
57,8.0,11.0,152.0,79.0,64.0
58,9.0,19.0,151.0,73.0,65.0
59,0.0,3.0,74.0,35.0,66.0
60,7.0,11.0,131.0,65.0,67.0
61,4.0,11.0,156.0,91.0,68.0
62,14.0,18.0,147.0,74.0,69.0
63,10.0,19.0,142.0,68.0,70.0
64,4.0,14.0,141.0,56.0,71.0
65,10.0,8.0,143.0,51.0,72.0
66,10.0,21.0,141.0,87.0,73.0
67,3.0,13.0,143.0,61.0,74.0
68,4.0,7.0,182.0,54.0,75.0
69,8.0,16.0,158.0,81.0,76.0
70,3.0,10.0,159.0,65.0,77.0
71,5.0,5.0,155.0,57.0,78.0
72,6.0,18.0,177.0,67.0,79.0
73,11.0,6.0,174.0,61.0,80.0
74,4.0,6.0,201.0,50.0,81.0
75,23.0,28.0,186.0,48.0,82.0
76,1.0,9.0,202.0,54.0,83.0
77,10.0,6.0,60.0,16.0,84.0
78,7.0,13.0,184.0,23.0,85.0
79,2.0,5.0,196.0,55.0,86.0
80,9.0,3.0,181.0,54.0,87.0
81,7.0,16.0,188.0,50.0,88.0
82,3.0,8.0,166.0,39.0,89.0
83,8.0,7.0,202.0,57.0,90.0
84,7.0,8.0,199.0,43.0,91.0
85,7.0,6.0,197.0,58.0,92.0
86,10.0,9.0,217.0,36.0,93.0
87,7.0,19.0,189.0,64.0,94.0
88,7.0,4.0,198.0,60.0,95.0
89,4.0,7.0,193.0,50.0,96.0
90,1.0,10.0,193.0,61.0,97.0
91,12.0,17.0,130.0,113.0,98.0
92,2.0,9.0,84.0,44.0,99.0
93,6.0,7.0,152.0,36.0,100.0
94,6.0,7.0,176.0,63.0,101.0
95,11.0,18.0,153.0,89.0,102.0
96,8.0,13.0,155.0,83.0,103.0
97,3.0,7.0,194.0,60.0,104.0
98,3.0,9.0,200.0,47.0,105.0
99,11.0,9.0,160.0,79.0,106.0
100,2.0,8.0,44.0,19.0,107.0
101,6.0,8.0,178.0,44.0,108.0
102,8.0,12.0,192.0,64.0,109.0
103,9.0,10.0,165.0,84.0,110.0
104,4.0,20.0,168.0,81.0,111.0
105,3.0,8.0,185.0,49.0,112.0
106,2.0,13.0,173.0,62.0,113.0
107,12.0,14.0,181.0,67.0,114.0
108,10.0,13.0,146.0,95.0,115.0
109,7.0,12.0,174.0,63.0,116.0
110,3.0,4.0,129.0,45.0,117.0
111,7.0,8.0,149.0,71.0,118.0
112,7.0,11.0,163.0,53.0,119.0
113,15.0,19.0,170.0,70.0,120.0
114,5.0,7.0,165.0,74.0,121.0
115,2.0,3.0,126.0,38.0,122.0
116,3.0,5.0,142.0,71.0,123.0
117,7.0,13.0,138.0,89.0,124.0
118,9.0,8.0,165.0,67.0,125.0
119,3.0,16.0,143.0,91.0,126.0
120,5.0,9.0,155.0,59.0,127.0
121,15.0,18.0,137.0,55.0,128.0
122,6.0,9.0,196.0,63.0,129.0
123,5.0,16.0,201.0,59.0,130.0
124,4.0,14.0,157.0,85.0,131.0
125,3.0,12.0,178.0,74.0,132.0
126,8.0,15.0,193.0,54.0,133.0
127,8.0,27.0,167.0,61.0,134.0
128,14.0,14.0,152.0,72.0,135.0
129,8.0,8.0,60.0,20.0,136.0
130,5.0,11.0,136.0,62.0,137.0
131,5.0,5.0,199.0,51.0,138.0
132,8.0,5.0,180.0,58.0,139.0
133,10.0,12.0,176.0,48.0,140.0
134,44.0,15.0,147.0,74.0,141.0
135,7.0,14.0,154.0,76.0,142.0
136,6.0,5.0,107.0,44.0,143.0
137,3.0,11.0,148.0,58.0,144.0
138,3.0,4.0,200.0,52.0,145.0
139,6.0,10.0,183.0,52.0,146.0
140,3.0,9.0,186.0,61.0,147.0
141,7.0,10.0,186.0,55.0,148.0
142,2.0,2.0,189.0,37.0,149.0
143,4.0,5.0,53.0,15.0,150.0
144,5.0,10.0,175.0,47.0,151.0
145,7.0,14.0,187.0,46.0,152.0
146,7.0,8.0,202.0,51.0,153.0
147,7.0,13.0,177.0,60.0,154.0
148,7.0,19.0,168.0,71.0,155.0
149,9.0,10.0,162.0,56.0,156.0
150,7.0,7.0,195.0,43.0,157.0
151,5.0,6.0,162.0,43.0,158.0
152,19.0,17.0,167.0,36.0,159.0
153,6.0,14.0,184.0,64.0,160.0
154,10.0,14.0,175.0,53.0,161.0
155,10.0,14.0,192.0,43.0,162.0
156,6.0,11.0,203.0,36.0,163.0
157,6.0,9.0,185.0,54.0,164.0
158,3.0,7.0,194.0,64.0,165.0
159,5.0,8.0,207.0,40.0,166.0
160,7.0,12.0,165.0,51.0,167.0
161,4.0,12.0,156.0,52.0,168.0
162,5.0,10.0,189.0,62.0,169.0
163,5.0,4.0,200.0,57.0,170.0
164,3.0,9.0,175.0,70.0,171.0
165,12.0,17.0,170.0,61.0,172.0
166,9.0,10.0,202.0,61.0,173.0
167,2.0,5.0,204.0,49.0,174.0
168,12.0,14.0,201.0,48.0,175.0
169,1.0,11.0,184.0,62.0,176.0
170,4.0,5.0,172.0,29.0,177.0
171,7.0,9.0,146.0,55.0,178.0
172,8.0,20.0,185.0,56.0,179.0
173,14.0,19.0,190.0,39.0,180.0
174,26.0,26.0,165.0,59.0,181.0
175,6.0,7.0,188.0,53.0,182.0
176,3.0,7.0,185.0,39.0,183.0
177,20.0,23.0,201.0,47.0,184.0
178,16.0,17.0,173.0,61.0,185.0
179,11.0,18.0,177.0,69.0,186.0
180,20.0,30.0,157.0,78.0,187.0
181,2.0,15.0,56.0,14.0,188.0
