,DEL,INS,OK,SUB,page_num
0,1.0,7.0,248.0,17.0,126.0
1,1.0,10.0,279.0,19.0,127.0
2,1.0,5.0,252.0,9.0,128.0
3,2.0,5.0,305.0,6.0,129.0
4,2.0,9.0,280.0,17.0,130.0
5,1.0,5.0,220.0,18.0,131.0
6,0.0,15.0,252.0,25.0,132.0
7,2.0,13.0,239.0,19.0,133.0
8,7.0,9.0,233.0,13.0,134.0
9,3.0,7.0,249.0,20.0,135.0
10,5.0,14.0,255.0,23.0,136.0
11,6.0,13.0,261.0,18.0,137.0
12,1.0,11.0,245.0,18.0,138.0
13,1.0,5.0,250.0,19.0,139.0
14,1.0,10.0,241.0,11.0,140.0
15,4.0,17.0,228.0,20.0,141.0
16,1.0,4.0,207.0,9.0,142.0
17,2.0,10.0,270.0,25.0,143.0
18,1.0,14.0,247.0,16.0,144.0
19,0.0,6.0,266.0,13.0,145.0
20,1.0,9.0,269.0,16.0,146.0
21,1.0,4.0,255.0,16.0,147.0
22,2.0,20.0,231.0,27.0,148.0
23,4.0,11.0,253.0,15.0,149.0
24,1.0,5.0,275.0,12.0,150.0
25,2.0,8.0,285.0,11.0,151.0
26,4.0,14.0,253.0,15.0,152.0
27,2.0,7.0,96.0,12.0,153.0
28,0.0,9.0,160.0,11.0,154.0
29,5.0,15.0,248.0,19.0,155.0
30,2.0,8.0,267.0,16.0,156.0
31,2.0,8.0,291.0,24.0,157.0
32,9.0,14.0,237.0,47.0,158.0
33,1.0,9.0,254.0,20.0,159.0
34,2.0,9.0,260.0,22.0,160.0
35,3.0,8.0,291.0,11.0,161.0
36,4.0,5.0,229.0,11.0,162.0
37,6.0,19.0,277.0,30.0,163.0
38,3.0,6.0,256.0,13.0,164.0
39,1.0,6.0,78.0,6.0,165.0
40,0.0,5.0,164.0,16.0,166.0
41,7.0,19.0,292.0,35.0,167.0
42,0.0,4.0,87.0,5.0,168.0
43,3.0,2.0,165.0,5.0,169.0
44,3.0,22.0,268.0,23.0,170.0
45,7.0,14.0,214.0,34.0,171.0
46,3.0,19.0,275.0,26.0,172.0
47,2.0,11.0,248.0,30.0,173.0
48,0.0,11.0,240.0,20.0,174.0
49,8.0,12.0,224.0,29.0,175.0
50,1.0,9.0,280.0,20.0,176.0
51,4.0,6.0,250.0,10.0,177.0
52,2.0,6.0,193.0,17.0,178.0
53,2.0,11.0,218.0,21.0,179.0
