,DEL,INS,OK,SUB,page_num
0,7.0,7.0,149.0,40.0,1.0
1,3.0,8.0,173.0,33.0,2.0
2,2.0,13.0,238.0,64.0,3.0
3,6.0,6.0,191.0,53.0,4.0
4,1.0,11.0,251.0,40.0,5.0
5,1.0,8.0,239.0,49.0,6.0
6,7.0,9.0,263.0,45.0,7.0
7,7.0,7.0,222.0,43.0,8.0
8,3.0,15.0,249.0,54.0,9.0
9,3.0,10.0,231.0,42.0,10.0
10,3.0,23.0,238.0,42.0,11.0
11,2.0,6.0,217.0,30.0,12.0
12,1.0,19.0,254.0,55.0,13.0
13,3.0,15.0,260.0,51.0,14.0
14,3.0,4.0,234.0,32.0,15.0
15,0.0,19.0,188.0,36.0,16.0
16,2.0,13.0,218.0,31.0,17.0
17,0.0,16.0,221.0,44.0,18.0
18,3.0,17.0,229.0,54.0,19.0
19,2.0,29.0,219.0,54.0,20.0
20,1.0,9.0,187.0,27.0,21.0
21,4.0,15.0,235.0,52.0,22.0
22,7.0,17.0,241.0,62.0,23.0
23,3.0,12.0,229.0,57.0,24.0
24,1.0,9.0,146.0,16.0,25.0
25,3.0,4.0,151.0,22.0,26.0
26,2.0,9.0,202.0,42.0,27.0
27,6.0,4.0,216.0,31.0,28.0
28,1.0,7.0,274.0,40.0,29.0
29,4.0,7.0,261.0,40.0,30.0
30,0.0,5.0,205.0,34.0,31.0
31,3.0,10.0,233.0,40.0,32.0
32,1.0,9.0,275.0,50.0,33.0
33,6.0,14.0,212.0,67.0,34.0
34,1.0,10.0,217.0,33.0,35.0
35,4.0,13.0,258.0,52.0,36.0
36,5.0,7.0,106.0,30.0,37.0
37,0.0,3.0,166.0,35.0,38.0
38,5.0,12.0,251.0,55.0,39.0
39,3.0,10.0,202.0,40.0,40.0
40,2.0,11.0,252.0,34.0,41.0
41,1.0,12.0,246.0,47.0,42.0
42,0.0,16.0,196.0,41.0,43.0
43,5.0,15.0,247.0,49.0,44.0
44,2.0,14.0,217.0,51.0,45.0
45,0.0,10.0,212.0,47.0,46.0
46,3.0,23.0,202.0,48.0,47.0
47,1.0,11.0,211.0,44.0,48.0
48,2.0,12.0,254.0,50.0,49.0
49,11.0,16.0,207.0,69.0,50.0
50,14.0,15.0,251.0,54.0,51.0
51,0.0,7.0,203.0,43.0,52.0
52,6.0,27.0,267.0,66.0,53.0
53,1.0,12.0,208.0,44.0,54.0
54,6.0,35.0,224.0,72.0,55.0
55,4.0,17.0,221.0,52.0,56.0
56,26.0,10.0,234.0,65.0,57.0
57,15.0,9.0,205.0,51.0,58.0
58,2.0,14.0,232.0,57.0,59.0
59,0.0,7.0,197.0,51.0,60.0
60,70.0,94.0,11.0,167.0,61.0
61,83.0,85.0,10.0,173.0,62.0
62,6.0,26.0,225.0,88.0,63.0
63,0.0,10.0,223.0,46.0,64.0
64,6.0,8.0,225.0,40.0,65.0
65,6.0,9.0,244.0,57.0,66.0
66,10.0,18.0,200.0,54.0,67.0
67,2.0,5.0,229.0,38.0,68.0
68,1.0,20.0,232.0,73.0,69.0
69,2.0,7.0,152.0,29.0,70.0
70,2.0,9.0,152.0,41.0,71.0
71,4.0,12.0,246.0,56.0,72.0
72,2.0,10.0,261.0,45.0,73.0
73,2.0,11.0,219.0,31.0,74.0
74,3.0,20.0,254.0,34.0,75.0
75,0.0,13.0,204.0,27.0,76.0
76,3.0,14.0,254.0,38.0,77.0
77,3.0,16.0,225.0,46.0,78.0
78,3.0,13.0,256.0,39.0,79.0
