,DEL,INS,OK,SUB,page_num
0,7.0,20.0,216.0,43.0,126.0
1,1.0,11.0,264.0,34.0,127.0
2,2.0,10.0,234.0,26.0,128.0
3,5.0,6.0,283.0,25.0,129.0
4,4.0,16.0,256.0,39.0,130.0
5,3.0,5.0,218.0,18.0,131.0
6,1.0,18.0,238.0,38.0,132.0
7,6.0,13.0,221.0,33.0,133.0
8,9.0,10.0,221.0,23.0,134.0
9,7.0,13.0,230.0,35.0,135.0
10,9.0,19.0,239.0,35.0,136.0
11,11.0,12.0,242.0,32.0,137.0
12,4.0,11.0,233.0,27.0,138.0
13,6.0,12.0,233.0,31.0,139.0
14,3.0,20.0,228.0,22.0,140.0
15,3.0,20.0,204.0,45.0,141.0
16,2.0,8.0,196.0,19.0,142.0
17,3.0,15.0,255.0,39.0,143.0
18,3.0,14.0,231.0,30.0,144.0
19,5.0,17.0,242.0,32.0,145.0
20,2.0,10.0,258.0,26.0,146.0
21,4.0,8.0,243.0,25.0,147.0
22,6.0,20.0,216.0,38.0,148.0
23,6.0,14.0,237.0,29.0,149.0
24,5.0,11.0,249.0,34.0,150.0
25,4.0,12.0,269.0,25.0,151.0
26,7.0,18.0,231.0,34.0,152.0
27,2.0,5.0,101.0,7.0,153.0
28,1.0,11.0,152.0,18.0,154.0
29,7.0,19.0,236.0,29.0,155.0
30,2.0,8.0,260.0,23.0,156.0
31,4.0,11.0,269.0,44.0,157.0
32,13.0,14.0,214.0,66.0,158.0
33,2.0,16.0,238.0,35.0,159.0
34,4.0,11.0,242.0,38.0,160.0
35,4.0,10.0,274.0,27.0,161.0
36,6.0,7.0,211.0,27.0,162.0
37,12.0,19.0,252.0,49.0,163.0
38,8.0,9.0,234.0,30.0,164.0
39,2.0,3.0,79.0,4.0,165.0
40,0.0,10.0,155.0,25.0,166.0
41,12.0,27.0,279.0,43.0,167.0
42,1.0,5.0,85.0,6.0,168.0
43,6.0,6.0,140.0,27.0,169.0
44,7.0,33.0,250.0,37.0,170.0
45,9.0,17.0,199.0,47.0,171.0
46,8.0,17.0,255.0,41.0,172.0
47,7.0,15.0,230.0,43.0,173.0
48,6.0,16.0,222.0,32.0,174.0
49,9.0,13.0,209.0,43.0,175.0
50,4.0,18.0,262.0,35.0,176.0
51,9.0,11.0,229.0,26.0,177.0
52,6.0,7.0,181.0,25.0,178.0
53,3.0,15.0,207.0,31.0,179.0
