,DEL,INS,OK,SUB,page_num
0,6.0,20.0,201.0,59.0,126.0
1,2.0,12.0,249.0,48.0,127.0
2,2.0,12.0,219.0,41.0,128.0
3,5.0,9.0,266.0,42.0,129.0
4,4.0,15.0,232.0,63.0,130.0
5,4.0,5.0,199.0,36.0,131.0
6,1.0,19.0,220.0,56.0,132.0
7,6.0,17.0,199.0,55.0,133.0
8,11.0,10.0,189.0,53.0,134.0
9,5.0,16.0,214.0,53.0,135.0
10,9.0,20.0,213.0,61.0,136.0
11,17.0,10.0,207.0,61.0,137.0
12,2.0,12.0,221.0,41.0,138.0
13,6.0,14.0,225.0,39.0,139.0
14,4.0,21.0,201.0,48.0,140.0
15,5.0,22.0,189.0,58.0,141.0
16,2.0,9.0,179.0,36.0,142.0
17,3.0,15.0,233.0,61.0,143.0
18,4.0,16.0,213.0,47.0,144.0
19,4.0,18.0,221.0,54.0,145.0
20,3.0,15.0,229.0,54.0,146.0
21,3.0,10.0,230.0,39.0,147.0
22,7.0,17.0,199.0,54.0,148.0
23,5.0,14.0,232.0,35.0,149.0
24,6.0,10.0,239.0,43.0,150.0
25,4.0,17.0,251.0,43.0,151.0
26,6.0,19.0,216.0,50.0,152.0
27,4.0,5.0,91.0,15.0,153.0
28,1.0,12.0,141.0,29.0,154.0
29,7.0,19.0,214.0,51.0,155.0
30,7.0,12.0,236.0,42.0,156.0
31,4.0,10.0,264.0,49.0,157.0
32,11.0,18.0,201.0,81.0,158.0
33,4.0,16.0,217.0,54.0,159.0
34,2.0,14.0,241.0,41.0,160.0
35,6.0,13.0,255.0,44.0,161.0
36,6.0,10.0,201.0,37.0,162.0
37,11.0,24.0,241.0,61.0,163.0
38,8.0,13.0,221.0,43.0,164.0
39,1.0,5.0,76.0,8.0,165.0
40,1.0,10.0,145.0,34.0,166.0
41,9.0,35.0,239.0,86.0,167.0
42,1.0,6.0,81.0,10.0,168.0
43,5.0,7.0,130.0,38.0,169.0
44,8.0,31.0,241.0,45.0,170.0
45,8.0,17.0,191.0,56.0,171.0
46,6.0,17.0,245.0,53.0,172.0
47,7.0,18.0,221.0,52.0,173.0
48,10.0,15.0,202.0,48.0,174.0
49,9.0,14.0,202.0,50.0,175.0
50,5.0,20.0,241.0,55.0,176.0
51,8.0,11.0,222.0,34.0,177.0
52,6.0,11.0,165.0,41.0,178.0
53,3.0,17.0,178.0,60.0,179.0
