,DEL,INS,OK,SUB,page_num
0,1.0,11.0,244.0,21.0,126.0
1,1.0,8.0,277.0,21.0,127.0
2,6.0,6.0,232.0,24.0,128.0
3,2.0,9.0,291.0,20.0,129.0
4,3.0,8.0,268.0,28.0,130.0
5,1.0,5.0,219.0,19.0,131.0
6,2.0,17.0,240.0,35.0,132.0
7,4.0,16.0,230.0,26.0,133.0
8,9.0,12.0,224.0,20.0,134.0
9,4.0,7.0,237.0,31.0,135.0
10,5.0,14.0,255.0,23.0,136.0
11,6.0,10.0,255.0,24.0,137.0
12,2.0,9.0,241.0,21.0,138.0
13,2.0,12.0,247.0,21.0,139.0
14,2.0,14.0,234.0,17.0,140.0
15,5.0,17.0,223.0,24.0,141.0
16,3.0,8.0,194.0,20.0,142.0
17,1.0,9.0,266.0,30.0,143.0
18,3.0,13.0,243.0,18.0,144.0
19,1.0,6.0,250.0,28.0,145.0
20,0.0,9.0,274.0,12.0,146.0
21,3.0,5.0,248.0,21.0,147.0
22,3.0,11.0,230.0,27.0,148.0
23,5.0,11.0,243.0,24.0,149.0
24,1.0,6.0,271.0,16.0,150.0
25,3.0,8.0,279.0,16.0,151.0
26,4.0,13.0,256.0,12.0,152.0
27,4.0,6.0,96.0,10.0,153.0
28,0.0,10.0,154.0,17.0,154.0
29,5.0,16.0,240.0,27.0,155.0
30,1.0,3.0,268.0,16.0,156.0
31,3.0,7.0,289.0,25.0,157.0
32,9.0,13.0,234.0,50.0,158.0
33,0.0,16.0,250.0,25.0,159.0
34,2.0,8.0,257.0,25.0,160.0
35,0.0,8.0,290.0,15.0,161.0
36,4.0,6.0,222.0,18.0,162.0
37,6.0,18.0,273.0,34.0,163.0
38,1.0,7.0,253.0,18.0,164.0
39,2.0,4.0,77.0,6.0,165.0
40,0.0,7.0,160.0,20.0,166.0
41,6.0,23.0,284.0,44.0,167.0
42,0.0,6.0,85.0,7.0,168.0
43,3.0,6.0,160.0,10.0,169.0
44,5.0,24.0,265.0,24.0,170.0
45,7.0,14.0,212.0,36.0,171.0
46,4.0,16.0,272.0,28.0,172.0
47,3.0,12.0,238.0,39.0,173.0
48,2.0,14.0,227.0,31.0,174.0
49,10.0,9.0,217.0,34.0,175.0
50,3.0,10.0,273.0,25.0,176.0
51,5.0,6.0,237.0,22.0,177.0
52,2.0,8.0,188.0,22.0,178.0
53,1.0,10.0,218.0,22.0,179.0
