,DEL,INS,OK,SUB,page_num
0,4.0,32.0,236.0,59.0,127.0
1,8.0,37.0,186.0,68.0,128.0
2,5.0,27.0,245.0,63.0,129.0
3,8.0,31.0,222.0,69.0,130.0
4,5.0,32.0,174.0,60.0,131.0
5,4.0,52.0,193.0,80.0,132.0
6,4.0,31.0,204.0,52.0,133.0
7,14.0,34.0,172.0,67.0,134.0
8,11.0,50.0,187.0,74.0,135.0
9,6.0,47.0,202.0,75.0,136.0
10,12.0,44.0,184.0,89.0,137.0
11,3.0,39.0,197.0,64.0,138.0
12,10.0,30.0,205.0,55.0,139.0
13,5.0,40.0,178.0,70.0,140.0
14,4.0,53.0,173.0,75.0,141.0
15,6.0,24.0,163.0,48.0,142.0
16,7.0,33.0,217.0,73.0,143.0
17,7.0,40.0,189.0,68.0,144.0
18,5.0,36.0,210.0,64.0,145.0
19,8.0,34.0,205.0,73.0,146.0
20,3.0,40.0,207.0,62.0,147.0
21,7.0,35.0,185.0,68.0,148.0
22,7.0,30.0,210.0,55.0,149.0
23,5.0,39.0,217.0,66.0,150.0
24,7.0,47.0,215.0,76.0,151.0
25,8.0,51.0,188.0,76.0,152.0
26,2.0,19.0,81.0,27.0,153.0
27,2.0,27.0,126.0,43.0,154.0
28,6.0,40.0,200.0,66.0,155.0
29,3.0,49.0,209.0,73.0,156.0
30,11.0,30.0,243.0,63.0,157.0
31,13.0,23.0,192.0,88.0,158.0
32,1.0,50.0,198.0,76.0,159.0
33,10.0,47.0,197.0,77.0,160.0
34,12.0,38.0,218.0,75.0,161.0
35,10.0,26.0,175.0,59.0,162.0
36,10.0,34.0,236.0,67.0,163.0
37,5.0,35.0,204.0,63.0,164.0
38,2.0,15.0,65.0,18.0,165.0
39,4.0,29.0,124.0,52.0,166.0
40,45.0,31.0,175.0,114.0,167.0
41,0.0,11.0,77.0,15.0,168.0
42,11.0,20.0,116.0,46.0,169.0
43,13.0,52.0,220.0,61.0,170.0
44,10.0,49.0,171.0,74.0,171.0
45,19.0,45.0,203.0,82.0,172.0
46,7.0,40.0,200.0,73.0,173.0
47,4.0,48.0,188.0,68.0,174.0
48,14.0,43.0,179.0,68.0,175.0
49,10.0,45.0,205.0,86.0,176.0
50,6.0,37.0,195.0,63.0,177.0
51,16.0,23.0,134.0,62.0,178.0
52,26.0,24.0,129.0,86.0,179.0
53,26.0,18.0,198.0,71.0,180.0
